¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
¦Á¤î°Ï,112,10,0·³,478,479,957
¦Á¤î°Ï,112,10,1·³,615,577,1192
¦Á¤î°Ï,112,10,2·³,617,583,1200
¦Á¤î°Ï,112,10,3·³,656,564,1220
¦Á¤î°Ï,112,10,4·³,686,649,1335
¦Á¤î°Ï,112,10,5·³,678,651,1329
¦Á¤î°Ï,112,10,6·³,744,682,1426
¦Á¤î°Ï,112,10,7·³,830,725,1555
¦Á¤î°Ï,112,10,8·³,786,696,1482
¦Á¤î°Ï,112,10,9·³,739,736,1475
¦Á¤î°Ï,112,10,10·³,749,685,1434
¦Á¤î°Ï,112,10,11·³,782,744,1526
¦Á¤î°Ï,112,10,12·³,636,647,1283
¦Á¤î°Ï,112,10,13·³,612,552,1164
¦Á¤î°Ï,112,10,14·³,741,681,1422
¦Á¤î°Ï,112,10,15·³,809,715,1524
¦Á¤î°Ï,112,10,16·³,837,742,1579
¦Á¤î°Ï,112,10,17·³,823,771,1594
¦Á¤î°Ï,112,10,18·³,895,748,1643
¦Á¤î°Ï,112,10,19·³,952,810,1762
¦Á¤î°Ï,112,10,20·³,1005,964,1969
¦Á¤î°Ï,112,10,21·³,1072,1059,2131
¦Á¤î°Ï,112,10,22·³,1287,1125,2412
¦Á¤î°Ï,112,10,23·³,1373,1218,2591
¦Á¤î°Ï,112,10,24·³,1368,1275,2643
¦Á¤î°Ï,112,10,25·³,1336,1260,2596
¦Á¤î°Ï,112,10,26·³,1542,1465,3007
¦Á¤î°Ï,112,10,27·³,1530,1424,2954
¦Á¤î°Ï,112,10,28·³,1536,1423,2959
¦Á¤î°Ï,112,10,29·³,1585,1412,2997
¦Á¤î°Ï,112,10,30·³,1566,1436,3002
¦Á¤î°Ï,112,10,31·³,1522,1421,2943
¦Á¤î°Ï,112,10,32·³,1548,1350,2898
¦Á¤î°Ï,112,10,33·³,1577,1442,3019
¦Á¤î°Ï,112,10,34·³,1408,1348,2756
¦Á¤î°Ï,112,10,35·³,1385,1361,2746
¦Á¤î°Ï,112,10,36·³,1284,1293,2577
¦Á¤î°Ï,112,10,37·³,1313,1313,2626
¦Á¤î°Ï,112,10,38·³,1398,1411,2809
¦Á¤î°Ï,112,10,39·³,1567,1484,3051
¦Á¤î°Ï,112,10,40·³,1651,1583,3234
¦Á¤î°Ï,112,10,41·³,1772,1762,3534
¦Á¤î°Ï,112,10,42·³,1773,1785,3558
¦Á¤î°Ï,112,10,43·³,1742,1756,3498
¦Á¤î°Ï,112,10,44·³,1859,1899,3758
¦Á¤î°Ï,112,10,45·³,1727,1816,3543
¦Á¤î°Ï,112,10,46·³,1683,1873,3556
¦Á¤î°Ï,112,10,47·³,1823,1884,3707
¦Á¤î°Ï,112,10,48·³,1584,1802,3386
¦Á¤î°Ï,112,10,49·³,1629,1745,3374
¦Á¤î°Ï,112,10,50·³,1604,1779,3383
¦Á¤î°Ï,112,10,51·³,1640,1835,3475
¦Á¤î°Ï,112,10,52·³,1729,1956,3685
¦Á¤î°Ï,112,10,53·³,1752,2045,3797
¦Á¤î°Ï,112,10,54·³,1753,2071,3824
¦Á¤î°Ï,112,10,55·³,1801,2121,3922
¦Á¤î°Ï,112,10,56·³,1815,2066,3881
¦Á¤î°Ï,112,10,57·³,1876,2190,4066
¦Á¤î°Ï,112,10,58·³,1880,2115,3995
¦Á¤î°Ï,112,10,59·³,1840,2051,3891
¦Á¤î°Ï,112,10,60·³,1784,2071,3855
¦Á¤î°Ï,112,10,61·³,1800,1986,3786
¦Á¤î°Ï,112,10,62·³,1669,1870,3539
¦Á¤î°Ï,112,10,63·³,1566,1795,3361
¦Á¤î°Ï,112,10,64·³,1526,1735,3261
¦Á¤î°Ï,112,10,65·³,1411,1655,3066
¦Á¤î°Ï,112,10,66·³,1319,1553,2872
¦Á¤î°Ï,112,10,67·³,1294,1637,2931
¦Á¤î°Ï,112,10,68·³,1233,1553,2786
¦Á¤î°Ï,112,10,69·³,1108,1403,2511
¦Á¤î°Ï,112,10,70·³,1048,1348,2396
¦Á¤î°Ï,112,10,71·³,1046,1347,2393
¦Á¤î°Ï,112,10,72·³,955,1230,2185
¦Á¤î°Ï,112,10,73·³,816,1004,1820
¦Á¤î°Ï,112,10,74·³,743,971,1714
¦Á¤î°Ï,112,10,75·³,578,765,1343
¦Á¤î°Ï,112,10,76·³,514,625,1139
¦Á¤î°Ï,112,10,77·³,348,442,790
¦Á¤î°Ï,112,10,78·³,297,430,727
¦Á¤î°Ï,112,10,79·³,377,470,847
¦Á¤î°Ï,112,10,80·³,333,488,821
¦Á¤î°Ï,112,10,81·³,319,487,806
¦Á¤î°Ï,112,10,82·³,269,440,709
¦Á¤î°Ï,112,10,83·³,239,400,639
¦Á¤î°Ï,112,10,84·³,209,340,549
¦Á¤î°Ï,112,10,85·³,169,287,456
¦Á¤î°Ï,112,10,86·³,143,270,413
¦Á¤î°Ï,112,10,87·³,115,219,334
¦Á¤î°Ï,112,10,88·³,104,186,290
¦Á¤î°Ï,112,10,89·³,104,161,265
¦Á¤î°Ï,112,10,90·³,75,127,202
¦Á¤î°Ï,112,10,91·³,58,98,156
¦Á¤î°Ï,112,10,92·³,60,76,136
¦Á¤î°Ï,112,10,93·³,54,74,128
¦Á¤î°Ï,112,10,94·³,34,65,99
¦Á¤î°Ï,112,10,95·³,28,39,67
¦Á¤î°Ï,112,10,96·³,22,31,53
¦Á¤î°Ï,112,10,97·³,19,20,39
¦Á¤î°Ï,112,10,98·³,3,21,24
¦Á¤î°Ï,112,10,99·³,3,16,19
¦Á¤î°Ï,112,10,100·³¥H¤W,16,33,49
Á`­p,,,,101608,107823,209431


              
