行政區,年,月,年齡,男,女,合計
坪林區,112,1,0歲,11,10,21
坪林區,112,1,1歲,17,12,29
坪林區,112,1,2歲,12,8,20
坪林區,112,1,3歲,24,15,39
坪林區,112,1,4歲,10,12,22
坪林區,112,1,5歲,12,19,31
坪林區,112,1,6歲,15,17,32
坪林區,112,1,7歲,17,9,26
坪林區,112,1,8歲,9,16,25
坪林區,112,1,9歲,15,15,30
坪林區,112,1,10歲,16,11,27
坪林區,112,1,11歲,8,16,24
坪林區,112,1,12歲,15,10,25
坪林區,112,1,13歲,12,15,27
坪林區,112,1,14歲,29,16,45
坪林區,112,1,15歲,13,19,32
坪林區,112,1,16歲,31,20,51
坪林區,112,1,17歲,14,18,32
坪林區,112,1,18歲,22,31,53
坪林區,112,1,19歲,29,27,56
坪林區,112,1,20歲,35,27,62
坪林區,112,1,21歲,38,28,66
坪林區,112,1,22歲,44,42,86
坪林區,112,1,23歲,37,34,71
坪林區,112,1,24歲,39,30,69
坪林區,112,1,25歲,48,43,91
坪林區,112,1,26歲,47,38,85
坪林區,112,1,27歲,37,32,69
坪林區,112,1,28歲,35,31,66
坪林區,112,1,29歲,46,46,92
坪林區,112,1,30歲,33,42,75
坪林區,112,1,31歲,30,29,59
坪林區,112,1,32歲,44,30,74
坪林區,112,1,33歲,41,30,71
坪林區,112,1,34歲,31,32,63
坪林區,112,1,35歲,45,16,61
坪林區,112,1,36歲,29,32,61
坪林區,112,1,37歲,29,37,66
坪林區,112,1,38歲,32,27,59
坪林區,112,1,39歲,32,33,65
坪林區,112,1,40歲,31,30,61
坪林區,112,1,41歲,34,43,77
坪林區,112,1,42歲,46,36,82
坪林區,112,1,43歲,40,32,72
坪林區,112,1,44歲,33,36,69
坪林區,112,1,45歲,51,38,89
坪林區,112,1,46歲,51,52,103
坪林區,112,1,47歲,39,36,75
坪林區,112,1,48歲,49,43,92
坪林區,112,1,49歲,43,38,81
坪林區,112,1,50歲,51,49,100
坪林區,112,1,51歲,68,42,110
坪林區,112,1,52歲,69,40,109
坪林區,112,1,53歲,65,59,124
坪林區,112,1,54歲,65,50,115
坪林區,112,1,55歲,71,39,110
坪林區,112,1,56歲,77,50,127
坪林區,112,1,57歲,77,54,131
坪林區,112,1,58歲,95,42,137
坪林區,112,1,59歲,87,59,146
坪林區,112,1,60歲,74,55,129
坪林區,112,1,61歲,62,41,103
坪林區,112,1,62歲,68,46,114
坪林區,112,1,63歲,87,50,137
坪林區,112,1,64歲,63,51,114
坪林區,112,1,65歲,75,46,121
坪林區,112,1,66歲,62,54,116
坪林區,112,1,67歲,60,52,112
坪林區,112,1,68歲,51,53,104
坪林區,112,1,69歲,60,46,106
坪林區,112,1,70歲,54,44,98
坪林區,112,1,71歲,45,51,96
坪林區,112,1,72歲,62,43,105
坪林區,112,1,73歲,40,41,81
坪林區,112,1,74歲,36,32,68
坪林區,112,1,75歲,32,30,62
坪林區,112,1,76歲,27,34,61
坪林區,112,1,77歲,33,28,61
坪林區,112,1,78歲,33,27,60
坪林區,112,1,79歲,27,31,58
坪林區,112,1,80歲,32,34,66
坪林區,112,1,81歲,22,33,55
坪林區,112,1,82歲,24,29,53
坪林區,112,1,83歲,25,34,59
坪林區,112,1,84歲,22,22,44
坪林區,112,1,85歲,25,25,50
坪林區,112,1,86歲,25,21,46
坪林區,112,1,87歲,16,15,31
坪林區,112,1,88歲,8,12,20
坪林區,112,1,89歲,13,12,25
坪林區,112,1,90歲,7,12,19
坪林區,112,1,91歲,9,16,25
坪林區,112,1,92歲,4,8,12
坪林區,112,1,93歲,12,10,22
坪林區,112,1,94歲,5,10,15
坪林區,112,1,95歲,7,6,13
坪林區,112,1,96歲,3,3,6
坪林區,112,1,97歲,1,3,4
坪林區,112,1,98歲,4,1,5
坪林區,112,1,99歲,0,3,3
坪林區,112,1,100歲以上,6,6,12
總計,,,,3546,3013,6559


              
