行政區,年,月,年齡,男,女,合計
坪林區,112,3,0歲,18,9,27
坪林區,112,3,1歲,13,12,25
坪林區,112,3,2歲,16,9,25
坪林區,112,3,3歲,23,14,37
坪林區,112,3,4歲,6,12,18
坪林區,112,3,5歲,15,19,34
坪林區,112,3,6歲,11,15,26
坪林區,112,3,7歲,10,11,21
坪林區,112,3,8歲,13,14,27
坪林區,112,3,9歲,15,16,31
坪林區,112,3,10歲,16,10,26
坪林區,112,3,11歲,7,17,24
坪林區,112,3,12歲,11,9,20
坪林區,112,3,13歲,15,15,30
坪林區,112,3,14歲,27,16,43
坪林區,112,3,15歲,15,14,29
坪林區,112,3,16歲,28,24,52
坪林區,112,3,17歲,14,17,31
坪林區,112,3,18歲,18,28,46
坪林區,112,3,19歲,29,28,57
坪林區,112,3,20歲,38,28,66
坪林區,112,3,21歲,37,26,63
坪林區,112,3,22歲,44,42,86
坪林區,112,3,23歲,38,31,69
坪林區,112,3,24歲,40,32,72
坪林區,112,3,25歲,47,41,88
坪林區,112,3,26歲,44,42,86
坪林區,112,3,27歲,39,32,71
坪林區,112,3,28歲,36,35,71
坪林區,112,3,29歲,43,40,83
坪林區,112,3,30歲,33,43,76
坪林區,112,3,31歲,29,26,55
坪林區,112,3,32歲,40,33,73
坪林區,112,3,33歲,38,32,70
坪林區,112,3,34歲,34,31,65
坪林區,112,3,35歲,47,17,64
坪林區,112,3,36歲,32,27,59
坪林區,112,3,37歲,25,35,60
坪林區,112,3,38歲,32,32,64
坪林區,112,3,39歲,33,32,65
坪林區,112,3,40歲,29,33,62
坪林區,112,3,41歲,33,40,73
坪林區,112,3,42歲,45,36,81
坪林區,112,3,43歲,39,31,70
坪林區,112,3,44歲,34,35,69
坪林區,112,3,45歲,55,33,88
坪林區,112,3,46歲,47,55,102
坪林區,112,3,47歲,44,39,83
坪林區,112,3,48歲,41,39,80
坪林區,112,3,49歲,50,37,87
坪林區,112,3,50歲,47,43,90
坪林區,112,3,51歲,65,40,105
坪林區,112,3,52歲,72,47,119
坪林區,112,3,53歲,62,54,116
坪林區,112,3,54歲,61,54,115
坪林區,112,3,55歲,74,40,114
坪林區,112,3,56歲,77,46,123
坪林區,112,3,57歲,79,62,141
坪林區,112,3,58歲,82,41,123
坪林區,112,3,59歲,95,60,155
坪林區,112,3,60歲,81,55,136
坪林區,112,3,61歲,58,44,102
坪林區,112,3,62歲,65,41,106
坪林區,112,3,63歲,85,52,137
坪林區,112,3,64歲,74,51,125
坪林區,112,3,65歲,69,48,117
坪林區,112,3,66歲,69,52,121
坪林區,112,3,67歲,58,49,107
坪林區,112,3,68歲,50,56,106
坪林區,112,3,69歲,58,35,93
坪林區,112,3,70歲,56,51,107
坪林區,112,3,71歲,51,46,97
坪林區,112,3,72歲,56,48,104
坪林區,112,3,73歲,42,40,82
坪林區,112,3,74歲,39,36,75
坪林區,112,3,75歲,35,30,65
坪林區,112,3,76歲,26,35,61
坪林區,112,3,77歲,28,25,53
坪林區,112,3,78歲,38,29,67
坪林區,112,3,79歲,27,30,57
坪林區,112,3,80歲,27,33,60
坪林區,112,3,81歲,25,34,59
坪林區,112,3,82歲,26,25,51
坪林區,112,3,83歲,23,38,61
坪林區,112,3,84歲,23,25,48
坪林區,112,3,85歲,23,21,44
坪林區,112,3,86歲,22,19,41
坪林區,112,3,87歲,19,17,36
坪林區,112,3,88歲,6,15,21
坪林區,112,3,89歲,15,9,24
坪林區,112,3,90歲,5,13,18
坪林區,112,3,91歲,5,18,23
坪林區,112,3,92歲,6,6,12
坪林區,112,3,93歲,10,10,20
坪林區,112,3,94歲,6,8,14
坪林區,112,3,95歲,6,6,12
坪林區,112,3,96歲,2,5,7
坪林區,112,3,97歲,2,1,3
坪林區,112,3,98歲,4,3,7
坪林區,112,3,99歲,0,2,2
坪林區,112,3,100歲以上,5,7,12
總計,,,,3525,2999,6524


              
