行政區,年,月,年齡,男,女,合計
坪林區,112,2,0歲,13,10,23
坪林區,112,2,1歲,16,11,27
坪林區,112,2,2歲,13,10,23
坪林區,112,2,3歲,25,15,40
坪林區,112,2,4歲,8,10,18
坪林區,112,2,5歲,14,20,34
坪林區,112,2,6歲,14,19,33
坪林區,112,2,7歲,14,8,22
坪林區,112,2,8歲,10,16,26
坪林區,112,2,9歲,15,14,29
坪林區,112,2,10歲,15,11,26
坪林區,112,2,11歲,8,16,24
坪林區,112,2,12歲,13,10,23
坪林區,112,2,13歲,13,15,28
坪林區,112,2,14歲,28,14,42
坪林區,112,2,15歲,15,18,33
坪林區,112,2,16歲,31,22,53
坪林區,112,2,17歲,13,18,31
坪林區,112,2,18歲,18,28,46
坪林區,112,2,19歲,30,27,57
坪林區,112,2,20歲,36,29,65
坪林區,112,2,21歲,40,27,67
坪林區,112,2,22歲,43,41,84
坪林區,112,2,23歲,37,34,71
坪林區,112,2,24歲,41,30,71
坪林區,112,2,25歲,46,43,89
坪林區,112,2,26歲,46,39,85
坪林區,112,2,27歲,36,31,67
坪林區,112,2,28歲,38,33,71
坪林區,112,2,29歲,43,42,85
坪林區,112,2,30歲,35,45,80
坪林區,112,2,31歲,30,25,55
坪林區,112,2,32歲,40,34,74
坪林區,112,2,33歲,39,29,68
坪林區,112,2,34歲,34,34,68
坪林區,112,2,35歲,46,16,62
坪林區,112,2,36歲,29,27,56
坪林區,112,2,37歲,28,39,67
坪林區,112,2,38歲,34,28,62
坪林區,112,2,39歲,30,35,65
坪林區,112,2,40歲,33,30,63
坪林區,112,2,41歲,29,41,70
坪林區,112,2,42歲,46,35,81
坪林區,112,2,43歲,41,34,75
坪林區,112,2,44歲,34,35,69
坪林區,112,2,45歲,53,37,90
坪林區,112,2,46歲,47,54,101
坪林區,112,2,47歲,43,37,80
坪林區,112,2,48歲,42,40,82
坪林區,112,2,49歲,50,38,88
坪林區,112,2,50歲,49,49,98
坪林區,112,2,51歲,67,39,106
坪林區,112,2,52歲,69,41,110
坪林區,112,2,53歲,71,59,130
坪林區,112,2,54歲,58,50,108
坪林區,112,2,55歲,72,41,113
坪林區,112,2,56歲,79,45,124
坪林區,112,2,57歲,77,59,136
坪林區,112,2,58歲,88,44,132
坪林區,112,2,59歲,88,58,146
坪林區,112,2,60歲,80,54,134
坪林區,112,2,61歲,63,44,107
坪林區,112,2,62歲,68,41,109
坪林區,112,2,63歲,81,52,133
坪林區,112,2,64歲,71,51,122
坪林區,112,2,65歲,72,48,120
坪林區,112,2,66歲,66,53,119
坪林區,112,2,67歲,60,47,107
坪林區,112,2,68歲,50,58,108
坪林區,112,2,69歲,61,45,106
坪林區,112,2,70歲,53,40,93
坪林區,112,2,71歲,47,51,98
坪林區,112,2,72歲,61,44,105
坪林區,112,2,73歲,38,43,81
坪林區,112,2,74歲,41,33,74
坪林區,112,2,75歲,32,29,61
坪林區,112,2,76歲,26,37,63
坪林區,112,2,77歲,30,26,56
坪林區,112,2,78歲,36,26,62
坪林區,112,2,79歲,28,32,60
坪林區,112,2,80歲,30,31,61
坪林區,112,2,81歲,22,36,58
坪林區,112,2,82歲,25,29,54
坪林區,112,2,83歲,23,36,59
坪林區,112,2,84歲,23,23,46
坪林區,112,2,85歲,24,23,47
坪林區,112,2,86歲,23,23,46
坪林區,112,2,87歲,18,13,31
坪林區,112,2,88歲,8,13,21
坪林區,112,2,89歲,13,10,23
坪林區,112,2,90歲,6,12,18
坪林區,112,2,91歲,8,17,25
坪林區,112,2,92歲,4,7,11
坪林區,112,2,93歲,10,9,19
坪林區,112,2,94歲,6,11,17
坪林區,112,2,95歲,6,5,11
坪林區,112,2,96歲,3,4,7
坪林區,112,2,97歲,1,1,2
坪林區,112,2,98歲,4,3,7
坪林區,112,2,99歲,0,2,2
坪林區,112,2,100歲以上,5,7,12
總計,,,,3539,3008,6547


              
