行政區,年,月,年齡,男,女,合計
坪林區,112,12,0歲,8,13,21
坪林區,112,12,1歲,14,9,23
坪林區,112,12,2歲,17,13,30
坪林區,112,12,3歲,16,5,21
坪林區,112,12,4歲,18,14,32
坪林區,112,12,5歲,9,12,21
坪林區,112,12,6歲,8,15,23
坪林區,112,12,7歲,11,16,27
坪林區,112,12,8歲,16,11,27
坪林區,112,12,9歲,12,14,26
坪林區,112,12,10歲,13,17,30
坪林區,112,12,11歲,15,9,24
坪林區,112,12,12歲,10,18,28
坪林區,112,12,13歲,15,10,25
坪林區,112,12,14歲,15,12,27
坪林區,112,12,15歲,23,13,36
坪林區,112,12,16歲,15,21,36
坪林區,112,12,17歲,30,19,49
坪林區,112,12,18歲,18,19,37
坪林區,112,12,19歲,25,33,58
坪林區,112,12,20歲,26,29,55
坪林區,112,12,21歲,38,29,67
坪林區,112,12,22歲,46,27,73
坪林區,112,12,23歲,36,43,79
坪林區,112,12,24歲,34,32,66
坪林區,112,12,25歲,44,28,72
坪林區,112,12,26歲,43,46,89
坪林區,112,12,27歲,44,36,80
坪林區,112,12,28歲,37,31,68
坪林區,112,12,29歲,33,38,71
坪林區,112,12,30歲,40,39,79
坪林區,112,12,31歲,35,37,72
坪林區,112,12,32歲,33,28,61
坪林區,112,12,33歲,39,29,68
坪林區,112,12,34歲,47,28,75
坪林區,112,12,35歲,29,33,62
坪林區,112,12,36歲,45,17,62
坪林區,112,12,37歲,27,32,59
坪林區,112,12,38歲,27,33,60
坪林區,112,12,39歲,33,28,61
坪林區,112,12,40歲,30,28,58
坪林區,112,12,41歲,31,31,62
坪林區,112,12,42歲,32,41,73
坪林區,112,12,43歲,42,35,77
坪林區,112,12,44歲,42,29,71
坪林區,112,12,45歲,37,36,73
坪林區,112,12,46歲,45,32,77
坪林區,112,12,47歲,52,54,106
坪林區,112,12,48歲,40,32,72
坪林區,112,12,49歲,49,43,92
坪林區,112,12,50歲,47,35,82
坪林區,112,12,51歲,54,52,106
坪林區,112,12,52歲,69,40,109
坪林區,112,12,53歲,67,45,112
坪林區,112,12,54歲,62,53,115
坪林區,112,12,55歲,69,47,116
坪林區,112,12,56歲,71,41,112
坪林區,112,12,57歲,77,56,133
坪林區,112,12,58歲,74,52,126
坪林區,112,12,59歲,95,45,140
坪林區,112,12,60歲,82,63,145
坪林區,112,12,61歲,75,53,128
坪林區,112,12,62歲,59,49,108
坪林區,112,12,63歲,67,43,110
坪林區,112,12,64歲,92,49,141
坪林區,112,12,65歲,65,50,115
坪林區,112,12,66歲,70,48,118
坪林區,112,12,67歲,69,59,128
坪林區,112,12,68歲,55,47,102
坪林區,112,12,69歲,49,55,104
坪林區,112,12,70歲,59,47,106
坪林區,112,12,71歲,58,39,97
坪林區,112,12,72歲,45,54,99
坪林區,112,12,73歲,55,44,99
坪林區,112,12,74歲,44,36,80
坪林區,112,12,75歲,33,32,65
坪林區,112,12,76歲,26,28,54
坪林區,112,12,77歲,26,33,59
坪林區,112,12,78歲,33,29,62
坪林區,112,12,79歲,34,25,59
坪林區,112,12,80歲,29,30,59
坪林區,112,12,81歲,28,32,60
坪林區,112,12,82歲,23,29,52
坪林區,112,12,83歲,21,33,54
坪林區,112,12,84歲,23,31,54
坪林區,112,12,85歲,22,21,43
坪林區,112,12,86歲,22,21,43
坪林區,112,12,87歲,21,21,42
坪林區,112,12,88歲,13,14,27
坪林區,112,12,89歲,9,13,22
坪林區,112,12,90歲,8,11,19
坪林區,112,12,91歲,4,11,15
坪林區,112,12,92歲,5,13,18
坪林區,112,12,93歲,2,8,10
坪林區,112,12,94歲,10,11,21
坪林區,112,12,95歲,4,6,10
坪林區,112,12,96歲,3,6,9
坪林區,112,12,97歲,2,3,5
坪林區,112,12,98歲,0,1,1
坪林區,112,12,99歲,1,1,2
坪林區,112,12,100歲以上,3,6,9
總計,,,,3478,2968,6446


              
