¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
°^¼d°Ï,112,10,0·³,25,14,39
°^¼d°Ï,112,10,1·³,23,15,38
°^¼d°Ï,112,10,2·³,16,21,37
°^¼d°Ï,112,10,3·³,15,18,33
°^¼d°Ï,112,10,4·³,19,16,35
°^¼d°Ï,112,10,5·³,12,14,26
°^¼d°Ï,112,10,6·³,14,17,31
°^¼d°Ï,112,10,7·³,15,15,30
°^¼d°Ï,112,10,8·³,20,12,32
°^¼d°Ï,112,10,9·³,18,14,32
°^¼d°Ï,112,10,10·³,14,17,31
°^¼d°Ï,112,10,11·³,22,19,41
°^¼d°Ï,112,10,12·³,19,12,31
°^¼d°Ï,112,10,13·³,15,17,32
°^¼d°Ï,112,10,14·³,18,15,33
°^¼d°Ï,112,10,15·³,26,28,54
°^¼d°Ï,112,10,16·³,29,25,54
°^¼d°Ï,112,10,17·³,36,19,55
°^¼d°Ï,112,10,18·³,32,44,76
°^¼d°Ï,112,10,19·³,45,36,81
°^¼d°Ï,112,10,20·³,36,52,88
°^¼d°Ï,112,10,21·³,54,54,108
°^¼d°Ï,112,10,22·³,49,47,96
°^¼d°Ï,112,10,23·³,63,63,126
°^¼d°Ï,112,10,24·³,62,46,108
°^¼d°Ï,112,10,25·³,61,47,108
°^¼d°Ï,112,10,26·³,77,56,133
°^¼d°Ï,112,10,27·³,63,63,126
°^¼d°Ï,112,10,28·³,64,50,114
°^¼d°Ï,112,10,29·³,76,49,125
°^¼d°Ï,112,10,30·³,56,66,122
°^¼d°Ï,112,10,31·³,64,61,125
°^¼d°Ï,112,10,32·³,63,38,101
°^¼d°Ï,112,10,33·³,55,56,111
°^¼d°Ï,112,10,34·³,56,55,111
°^¼d°Ï,112,10,35·³,66,46,112
°^¼d°Ï,112,10,36·³,53,51,104
°^¼d°Ï,112,10,37·³,54,42,96
°^¼d°Ï,112,10,38·³,69,51,120
°^¼d°Ï,112,10,39·³,65,63,128
°^¼d°Ï,112,10,40·³,76,74,150
°^¼d°Ï,112,10,41·³,67,94,161
°^¼d°Ï,112,10,42·³,62,94,156
°^¼d°Ï,112,10,43·³,79,81,160
°^¼d°Ï,112,10,44·³,104,88,192
°^¼d°Ï,112,10,45·³,85,83,168
°^¼d°Ï,112,10,46·³,86,89,175
°^¼d°Ï,112,10,47·³,89,102,191
°^¼d°Ï,112,10,48·³,109,105,214
°^¼d°Ï,112,10,49·³,102,113,215
°^¼d°Ï,112,10,50·³,119,130,249
°^¼d°Ï,112,10,51·³,109,107,216
°^¼d°Ï,112,10,52·³,113,124,237
°^¼d°Ï,112,10,53·³,128,106,234
°^¼d°Ï,112,10,54·³,140,115,255
°^¼d°Ï,112,10,55·³,127,112,239
°^¼d°Ï,112,10,56·³,127,92,219
°^¼d°Ï,112,10,57·³,135,106,241
°^¼d°Ï,112,10,58·³,138,103,241
°^¼d°Ï,112,10,59·³,139,108,247
°^¼d°Ï,112,10,60·³,123,106,229
°^¼d°Ï,112,10,61·³,104,91,195
°^¼d°Ï,112,10,62·³,119,75,194
°^¼d°Ï,112,10,63·³,110,79,189
°^¼d°Ï,112,10,64·³,117,75,192
°^¼d°Ï,112,10,65·³,79,89,168
°^¼d°Ï,112,10,66·³,77,66,143
°^¼d°Ï,112,10,67·³,86,89,175
°^¼d°Ï,112,10,68·³,91,75,166
°^¼d°Ï,112,10,69·³,76,69,145
°^¼d°Ï,112,10,70·³,81,71,152
°^¼d°Ï,112,10,71·³,71,89,160
°^¼d°Ï,112,10,72·³,60,58,118
°^¼d°Ï,112,10,73·³,58,71,129
°^¼d°Ï,112,10,74·³,47,63,110
°^¼d°Ï,112,10,75·³,48,59,107
°^¼d°Ï,112,10,76·³,30,44,74
°^¼d°Ï,112,10,77·³,20,33,53
°^¼d°Ï,112,10,78·³,34,51,85
°^¼d°Ï,112,10,79·³,26,46,72
°^¼d°Ï,112,10,80·³,42,47,89
°^¼d°Ï,112,10,81·³,38,57,95
°^¼d°Ï,112,10,82·³,42,44,86
°^¼d°Ï,112,10,83·³,43,59,102
°^¼d°Ï,112,10,84·³,37,51,88
°^¼d°Ï,112,10,85·³,22,44,66
°^¼d°Ï,112,10,86·³,20,43,63
°^¼d°Ï,112,10,87·³,26,29,55
°^¼d°Ï,112,10,88·³,26,29,55
°^¼d°Ï,112,10,89·³,18,21,39
°^¼d°Ï,112,10,90·³,20,24,44
°^¼d°Ï,112,10,91·³,15,23,38
°^¼d°Ï,112,10,92·³,7,10,17
°^¼d°Ï,112,10,93·³,11,12,23
°^¼d°Ï,112,10,94·³,9,9,18
°^¼d°Ï,112,10,95·³,1,11,12
°^¼d°Ï,112,10,96·³,1,6,7
°^¼d°Ï,112,10,97·³,4,8,12
°^¼d°Ï,112,10,98·³,2,4,6
°^¼d°Ï,112,10,99·³,0,2,2
°^¼d°Ï,112,10,100·³¥H¤W,0,4,4
Á`­p,,,,5614,5406,11020


              
