行政區,年,月,年齡,男,女,合計
石門區,112,2,0歲,32,19,51
石門區,112,2,1歲,25,23,48
石門區,112,2,2歲,25,25,50
石門區,112,2,3歲,24,34,58
石門區,112,2,4歲,17,20,37
石門區,112,2,5歲,22,19,41
石門區,112,2,6歲,19,17,36
石門區,112,2,7歲,23,22,45
石門區,112,2,8歲,28,28,56
石門區,112,2,9歲,25,23,48
石門區,112,2,10歲,39,32,71
石門區,112,2,11歲,23,31,54
石門區,112,2,12歲,27,27,54
石門區,112,2,13歲,28,25,53
石門區,112,2,14歲,34,31,65
石門區,112,2,15歲,53,31,84
石門區,112,2,16歲,47,35,82
石門區,112,2,17歲,47,36,83
石門區,112,2,18歲,43,57,100
石門區,112,2,19歲,54,61,115
石門區,112,2,20歲,77,69,146
石門區,112,2,21歲,73,71,144
石門區,112,2,22歲,91,74,165
石門區,112,2,23歲,65,63,128
石門區,112,2,24歲,83,50,133
石門區,112,2,25歲,71,74,145
石門區,112,2,26歲,105,82,187
石門區,112,2,27歲,91,79,170
石門區,112,2,28歲,85,90,175
石門區,112,2,29歲,87,74,161
石門區,112,2,30歲,76,61,137
石門區,112,2,31歲,73,74,147
石門區,112,2,32歲,82,67,149
石門區,112,2,33歲,71,61,132
石門區,112,2,34歲,77,69,146
石門區,112,2,35歲,70,59,129
石門區,112,2,36歲,54,64,118
石門區,112,2,37歲,74,60,134
石門區,112,2,38歲,73,65,138
石門區,112,2,39歲,83,82,165
石門區,112,2,40歲,92,89,181
石門區,112,2,41歲,84,104,188
石門區,112,2,42歲,95,111,206
石門區,112,2,43歲,100,81,181
石門區,112,2,44歲,105,106,211
石門區,112,2,45歲,79,98,177
石門區,112,2,46歲,85,100,185
石門區,112,2,47歲,87,96,183
石門區,112,2,48歲,73,82,155
石門區,112,2,49歲,95,94,189
石門區,112,2,50歲,115,81,196
石門區,112,2,51歲,82,81,163
石門區,112,2,52歲,89,68,157
石門區,112,2,53歲,97,77,174
石門區,112,2,54歲,105,78,183
石門區,112,2,55歲,71,83,154
石門區,112,2,56歲,109,91,200
石門區,112,2,57歲,103,79,182
石門區,112,2,58歲,110,76,186
石門區,112,2,59歲,102,76,178
石門區,112,2,60歲,96,87,183
石門區,112,2,61歲,118,89,207
石門區,112,2,62歲,94,80,174
石門區,112,2,63歲,111,69,180
石門區,112,2,64歲,75,82,157
石門區,112,2,65歲,73,66,139
石門區,112,2,66歲,88,80,168
石門區,112,2,67歲,85,59,144
石門區,112,2,68歲,61,68,129
石門區,112,2,69歲,83,73,156
石門區,112,2,70歲,59,61,120
石門區,112,2,71歲,76,61,137
石門區,112,2,72歲,75,57,132
石門區,112,2,73歲,53,59,112
石門區,112,2,74歲,54,40,94
石門區,112,2,75歲,36,38,74
石門區,112,2,76歲,37,25,62
石門區,112,2,77歲,15,24,39
石門區,112,2,78歲,31,33,64
石門區,112,2,79歲,35,25,60
石門區,112,2,80歲,35,37,72
石門區,112,2,81歲,34,33,67
石門區,112,2,82歲,29,25,54
石門區,112,2,83歲,26,25,51
石門區,112,2,84歲,23,23,46
石門區,112,2,85歲,22,26,48
石門區,112,2,86歲,17,15,32
石門區,112,2,87歲,16,25,41
石門區,112,2,88歲,11,14,25
石門區,112,2,89歲,14,15,29
石門區,112,2,90歲,9,10,19
石門區,112,2,91歲,12,17,29
石門區,112,2,92歲,3,10,13
石門區,112,2,93歲,1,9,10
石門區,112,2,94歲,7,12,19
石門區,112,2,95歲,1,3,4
石門區,112,2,96歲,3,2,5
石門區,112,2,97歲,2,5,7
石門區,112,2,98歲,0,1,1
石門區,112,2,99歲,2,2,4
石門區,112,2,100歲以上,1,6,7
總計,,,,5697,5226,10923


              
