行政區,年,月,年齡,男,女,合計
永和區,112,5,0歲,445,401,846
永和區,112,5,1歲,549,487,1036
永和區,112,5,2歲,593,545,1138
永和區,112,5,3歲,618,578,1196
永和區,112,5,4歲,713,601,1314
永和區,112,5,5歲,739,707,1446
永和區,112,5,6歲,878,866,1744
永和區,112,5,7歲,917,885,1802
永和區,112,5,8歲,1022,942,1964
永和區,112,5,9歲,906,877,1783
永和區,112,5,10歲,1147,1066,2213
永和區,112,5,11歲,1135,1059,2194
永和區,112,5,12歲,1038,999,2037
永和區,112,5,13歲,948,877,1825
永和區,112,5,14歲,940,906,1846
永和區,112,5,15歲,928,885,1813
永和區,112,5,16歲,944,841,1785
永和區,112,5,17歲,871,782,1653
永和區,112,5,18歲,958,855,1813
永和區,112,5,19歲,935,866,1801
永和區,112,5,20歲,989,944,1933
永和區,112,5,21歲,994,923,1917
永和區,112,5,22歲,1192,1129,2321
永和區,112,5,23歲,1117,1091,2208
永和區,112,5,24歲,1081,1058,2139
永和區,112,5,25歲,1295,1165,2460
永和區,112,5,26歲,1296,1224,2520
永和區,112,5,27歲,1344,1214,2558
永和區,112,5,28歲,1275,1216,2491
永和區,112,5,29歲,1280,1237,2517
永和區,112,5,30歲,1335,1229,2564
永和區,112,5,31歲,1257,1179,2436
永和區,112,5,32歲,1313,1203,2516
永和區,112,5,33歲,1316,1284,2600
永和區,112,5,34歲,1269,1257,2526
永和區,112,5,35歲,1250,1204,2454
永和區,112,5,36歲,1156,1233,2389
永和區,112,5,37歲,1298,1355,2653
永和區,112,5,38歲,1420,1492,2912
永和區,112,5,39歲,1462,1524,2986
永和區,112,5,40歲,1558,1729,3287
永和區,112,5,41歲,1551,1786,3337
永和區,112,5,42歲,1584,1895,3479
永和區,112,5,43歲,1721,1965,3686
永和區,112,5,44歲,1749,1934,3683
永和區,112,5,45歲,1549,1806,3355
永和區,112,5,46歲,1681,2082,3763
永和區,112,5,47歲,1608,1809,3417
永和區,112,5,48歲,1615,1746,3361
永和區,112,5,49歲,1543,1754,3297
永和區,112,5,50歲,1596,1742,3338
永和區,112,5,51歲,1457,1672,3129
永和區,112,5,52歲,1608,1758,3366
永和區,112,5,53歲,1546,1844,3390
永和區,112,5,54歲,1507,1809,3316
永和區,112,5,55歲,1451,1775,3226
永和區,112,5,56歲,1560,1759,3319
永和區,112,5,57歲,1533,1867,3400
永和區,112,5,58歲,1541,1936,3477
永和區,112,5,59歲,1606,1795,3401
永和區,112,5,60歲,1529,1874,3403
永和區,112,5,61歲,1551,1904,3455
永和區,112,5,62歲,1581,1841,3422
永和區,112,5,63歲,1452,1884,3336
永和區,112,5,64歲,1550,1920,3470
永和區,112,5,65歲,1418,1803,3221
永和區,112,5,66歲,1364,1794,3158
永和區,112,5,67歲,1489,1877,3366
永和區,112,5,68歲,1423,1865,3288
永和區,112,5,69歲,1362,1751,3113
永和區,112,5,70歲,1394,1780,3174
永和區,112,5,71歲,1353,1815,3168
永和區,112,5,72歲,1236,1588,2824
永和區,112,5,73歲,1096,1433,2529
永和區,112,5,74歲,1005,1269,2274
永和區,112,5,75歲,900,1138,2038
永和區,112,5,76歲,689,937,1626
永和區,112,5,77歲,515,693,1208
永和區,112,5,78歲,545,712,1257
永和區,112,5,79歲,492,702,1194
永和區,112,5,80歲,485,670,1155
永和區,112,5,81歲,408,688,1096
永和區,112,5,82歲,372,611,983
永和區,112,5,83歲,312,545,857
永和區,112,5,84歲,251,508,759
永和區,112,5,85歲,246,472,718
永和區,112,5,86歲,210,382,592
永和區,112,5,87歲,170,334,504
永和區,112,5,88歲,136,285,421
永和區,112,5,89歲,148,244,392
永和區,112,5,90歲,127,182,309
永和區,112,5,91歲,144,191,335
永和區,112,5,92歲,106,131,237
永和區,112,5,93歲,115,117,232
永和區,112,5,94歲,95,115,210
永和區,112,5,95歲,74,78,152
永和區,112,5,96歲,58,56,114
永和區,112,5,97歲,48,42,90
永和區,112,5,98歲,21,30,51
永和區,112,5,99歲,31,26,57
永和區,112,5,100歲以上,91,54,145
總計,,,,101319,112990,214309<!DOCTYPE HTML PUBLIC "-//IETF//DTD HTML 2.0//EN">
<html><head>
<title>503 Service Unavailable</title>
</head><body>
<h1>Service Unavailable</h1>
<p>The server is temporarily unable to service your
request due to maintenance downtime or capacity
problems. Please try again later.</p>
<p>Additionally, a 503 Service Unavailable
error was encountered while trying to use an ErrorDocument to handle the request.</p>
</body></html>
