行政區,年,月,年齡,男,女,合計
新莊區,112,3,0歲,1259,1190,2449
新莊區,112,3,1歲,1537,1417,2954
新莊區,112,3,2歲,1621,1558,3179
新莊區,112,3,3歲,1736,1573,3309
新莊區,112,3,4歲,1856,1705,3561
新莊區,112,3,5歲,1925,1827,3752
新莊區,112,3,6歲,2202,2033,4235
新莊區,112,3,7歲,2224,2119,4343
新莊區,112,3,8歲,2276,2184,4460
新莊區,112,3,9歲,2086,1908,3994
新莊區,112,3,10歲,2373,2298,4671
新莊區,112,3,11歲,2105,2089,4194
新莊區,112,3,12歲,1758,1672,3430
新莊區,112,3,13歲,1932,1813,3745
新莊區,112,3,14歲,2069,1810,3879
新莊區,112,3,15歲,2048,1907,3955
新莊區,112,3,16歲,1988,1810,3798
新莊區,112,3,17歲,2024,1858,3882
新莊區,112,3,18歲,2080,1854,3934
新莊區,112,3,19歲,2063,1915,3978
新莊區,112,3,20歲,2256,2062,4318
新莊區,112,3,21歲,2338,2122,4460
新莊區,112,3,22歲,2788,2529,5317
新莊區,112,3,23歲,2604,2459,5063
新莊區,112,3,24歲,2384,2249,4633
新莊區,112,3,25歲,2898,2676,5574
新莊區,112,3,26歲,2931,2811,5742
新莊區,112,3,27歲,2945,2869,5814
新莊區,112,3,28歲,2985,2800,5785
新莊區,112,3,29歲,3170,2977,6147
新莊區,112,3,30歲,3071,2913,5984
新莊區,112,3,31歲,3135,2968,6103
新莊區,112,3,32歲,3265,3155,6420
新莊區,112,3,33歲,3025,2937,5962
新莊區,112,3,34歲,3402,3332,6734
新莊區,112,3,35歲,3077,2977,6054
新莊區,112,3,36歲,2930,2950,5880
新莊區,112,3,37歲,3308,3328,6636
新莊區,112,3,38歲,3562,3635,7197
新莊區,112,3,39歲,3638,3762,7400
新莊區,112,3,40歲,3775,4037,7812
新莊區,112,3,41歲,4035,4163,8198
新莊區,112,3,42歲,3972,4272,8244
新莊區,112,3,43歲,4091,4302,8393
新莊區,112,3,44歲,3962,4176,8138
新莊區,112,3,45歲,3620,3974,7594
新莊區,112,3,46歲,3958,4190,8148
新莊區,112,3,47歲,3336,3536,6872
新莊區,112,3,48歲,3127,3567,6694
新莊區,112,3,49歲,3012,3196,6208
新莊區,112,3,50歲,2878,3048,5926
新莊區,112,3,51歲,2912,3176,6088
新莊區,112,3,52歲,2921,3232,6153
新莊區,112,3,53歲,2861,3267,6128
新莊區,112,3,54歲,2667,3208,5875
新莊區,112,3,55歲,2591,3126,5717
新莊區,112,3,56歲,2608,3233,5841
新莊區,112,3,57歲,2608,3326,5934
新莊區,112,3,58歲,2678,3390,6068
新莊區,112,3,59歲,2799,3523,6322
新莊區,112,3,60歲,2706,3514,6220
新莊區,112,3,61歲,2795,3356,6151
新莊區,112,3,62歲,2677,3211,5888
新莊區,112,3,63歲,2566,3318,5884
新莊區,112,3,64歲,2735,3260,5995
新莊區,112,3,65歲,2309,2894,5203
新莊區,112,3,66歲,2490,3103,5593
新莊區,112,3,67歲,2402,2954,5356
新莊區,112,3,68歲,2392,2840,5232
新莊區,112,3,69歲,2092,2618,4710
新莊區,112,3,70歲,1948,2535,4483
新莊區,112,3,71歲,2040,2419,4459
新莊區,112,3,72歲,1728,1983,3711
新莊區,112,3,73歲,1556,1797,3353
新莊區,112,3,74歲,1335,1505,2840
新莊區,112,3,75歲,1125,1272,2397
新莊區,112,3,76歲,945,958,1903
新莊區,112,3,77歲,640,714,1354
新莊區,112,3,78歲,781,781,1562
新莊區,112,3,79歲,654,771,1425
新莊區,112,3,80歲,595,693,1288
新莊區,112,3,81歲,515,599,1114
新莊區,112,3,82歲,472,604,1076
新莊區,112,3,83歲,373,524,897
新莊區,112,3,84歲,317,472,789
新莊區,112,3,85歲,251,374,625
新莊區,112,3,86歲,243,327,570
新莊區,112,3,87歲,157,262,419
新莊區,112,3,88歲,147,225,372
新莊區,112,3,89歲,110,184,294
新莊區,112,3,90歲,97,165,262
新莊區,112,3,91歲,80,136,216
新莊區,112,3,92歲,73,101,174
新莊區,112,3,93歲,57,71,128
新莊區,112,3,94歲,51,61,112
新莊區,112,3,95歲,35,50,85
新莊區,112,3,96歲,17,44,61
新莊區,112,3,97歲,19,23,42
新莊區,112,3,98歲,14,23,37
新莊區,112,3,99歲,7,9,16
新莊區,112,3,100歲以上,17,23,40
總計,,,,204848,216766,421614


              
