行政區,年,月,年齡,男,女,合計
新莊區,112,9,0歲,1134,1163,2297
新莊區,112,9,1歲,1506,1330,2836
新莊區,112,9,2歲,1561,1529,3090
新莊區,112,9,3歲,1734,1544,3278
新莊區,112,9,4歲,1799,1706,3505
新莊區,112,9,5歲,1879,1736,3615
新莊區,112,9,6歲,2126,2026,4152
新莊區,112,9,7歲,2207,2111,4318
新莊區,112,9,8歲,2291,2173,4464
新莊區,112,9,9歲,2199,2118,4317
新莊區,112,9,10歲,2264,2059,4323
新莊區,112,9,11歲,2303,2300,4603
新莊區,112,9,12歲,1903,1919,3822
新莊區,112,9,13歲,1844,1639,3483
新莊區,112,9,14歲,1979,1887,3866
新莊區,112,9,15歲,2070,1864,3934
新莊區,112,9,16歲,2036,1827,3863
新莊區,112,9,17歲,2070,1865,3935
新莊區,112,9,18歲,2002,1880,3882
新莊區,112,9,19歲,2114,1848,3962
新莊區,112,9,20歲,2155,1939,4094
新莊區,112,9,21歲,2303,2129,4432
新莊區,112,9,22歲,2534,2358,4892
新莊區,112,9,23歲,2767,2516,5283
新莊區,112,9,24歲,2452,2343,4795
新莊區,112,9,25歲,2611,2469,5080
新莊區,112,9,26歲,2953,2722,5675
新莊區,112,9,27歲,2921,2863,5784
新莊區,112,9,28歲,2951,2848,5799
新莊區,112,9,29歲,3037,2911,5948
新莊區,112,9,30歲,3122,2948,6070
新莊區,112,9,31歲,3142,2953,6095
新莊區,112,9,32歲,3157,3056,6213
新莊區,112,9,33歲,3241,3170,6411
新莊區,112,9,34歲,3178,3067,6245
新莊區,112,9,35歲,3229,3157,6386
新莊區,112,9,36歲,3075,3053,6128
新莊區,112,9,37歲,3110,3132,6242
新莊區,112,9,38歲,3521,3550,7071
新莊區,112,9,39歲,3530,3678,7208
新莊區,112,9,40歲,3751,4005,7756
新莊區,112,9,41歲,3877,4098,7975
新莊區,112,9,42歲,4137,4319,8456
新莊區,112,9,43歲,4021,4220,8241
新莊區,112,9,44歲,4042,4366,8408
新莊區,112,9,45歲,3880,4089,7969
新莊區,112,9,46歲,3717,4117,7834
新莊區,112,9,47歲,3726,3880,7606
新莊區,112,9,48歲,3187,3553,6740
新莊區,112,9,49歲,3106,3333,6439
新莊區,112,9,50歲,2982,3139,6121
新莊區,112,9,51歲,2834,3145,5979
新莊區,112,9,52歲,2951,3184,6135
新莊區,112,9,53歲,2856,3312,6168
新莊區,112,9,54歲,2780,3275,6055
新莊區,112,9,55歲,2704,3106,5810
新莊區,112,9,56歲,2523,3259,5782
新莊區,112,9,57歲,2641,3249,5890
新莊區,112,9,58歲,2644,3369,6013
新莊區,112,9,59歲,2696,3419,6115
新莊區,112,9,60歲,2747,3625,6372
新莊區,112,9,61歲,2821,3373,6194
新莊區,112,9,62歲,2684,3321,6005
新莊區,112,9,63歲,2616,3245,5861
新莊區,112,9,64歲,2641,3235,5876
新莊區,112,9,65歲,2532,3090,5622
新莊區,112,9,66歲,2239,2831,5070
新莊區,112,9,67歲,2506,3168,5674
新莊區,112,9,68歲,2472,3006,5478
新莊區,112,9,69歲,2210,2656,4866
新莊區,112,9,70歲,1991,2577,4568
新莊區,112,9,71歲,1959,2445,4404
新莊區,112,9,72歲,1936,2218,4154
新莊區,112,9,73歲,1532,1823,3355
新莊區,112,9,74歲,1449,1652,3101
新莊區,112,9,75歲,1210,1312,2522
新莊區,112,9,76歲,1017,1112,2129
新莊區,112,9,77歲,711,786,1497
新莊區,112,9,78歲,730,741,1471
新莊區,112,9,79歲,702,795,1497
新莊區,112,9,80歲,575,682,1257
新莊區,112,9,81歲,589,654,1243
新莊區,112,9,82歲,460,609,1069
新莊區,112,9,83歲,419,536,955
新莊區,112,9,84歲,313,482,795
新莊區,112,9,85歲,247,385,632
新莊區,112,9,86歲,232,334,566
新莊區,112,9,87歲,189,281,470
新莊區,112,9,88歲,151,235,386
新莊區,112,9,89歲,115,207,322
新莊區,112,9,90歲,91,160,251
新莊區,112,9,91歲,76,132,208
新莊區,112,9,92歲,75,111,186
新莊區,112,9,93歲,57,80,137
新莊區,112,9,94歲,53,60,113
新莊區,112,9,95歲,29,43,72
新莊區,112,9,96歲,26,52,78
新莊區,112,9,97歲,11,25,36
新莊區,112,9,98歲,16,19,35
新莊區,112,9,99歲,10,12,22
新莊區,112,9,100歲以上,16,23,39
總計,,,,205520,217956,423476


              
