行政區,年,月,年齡,男,女,合計
平溪區,112,10,0歲,2,3,5
平溪區,112,10,1歲,8,2,10
平溪區,112,10,2歲,1,5,6
平溪區,112,10,3歲,4,2,6
平溪區,112,10,4歲,5,3,8
平溪區,112,10,5歲,5,6,11
平溪區,112,10,6歲,5,8,13
平溪區,112,10,7歲,5,10,15
平溪區,112,10,8歲,2,11,13
平溪區,112,10,9歲,8,3,11
平溪區,112,10,10歲,6,6,12
平溪區,112,10,11歲,9,5,14
平溪區,112,10,12歲,5,3,8
平溪區,112,10,13歲,8,3,11
平溪區,112,10,14歲,7,8,15
平溪區,112,10,15歲,6,10,16
平溪區,112,10,16歲,13,8,21
平溪區,112,10,17歲,17,12,29
平溪區,112,10,18歲,11,16,27
平溪區,112,10,19歲,11,18,29
平溪區,112,10,20歲,10,16,26
平溪區,112,10,21歲,17,14,31
平溪區,112,10,22歲,18,17,35
平溪區,112,10,23歲,16,21,37
平溪區,112,10,24歲,13,21,34
平溪區,112,10,25歲,15,9,24
平溪區,112,10,26歲,13,13,26
平溪區,112,10,27歲,18,11,29
平溪區,112,10,28歲,18,22,40
平溪區,112,10,29歲,14,11,25
平溪區,112,10,30歲,21,16,37
平溪區,112,10,31歲,18,13,31
平溪區,112,10,32歲,28,8,36
平溪區,112,10,33歲,19,17,36
平溪區,112,10,34歲,26,16,42
平溪區,112,10,35歲,19,14,33
平溪區,112,10,36歲,16,17,33
平溪區,112,10,37歲,21,12,33
平溪區,112,10,38歲,22,11,33
平溪區,112,10,39歲,13,18,31
平溪區,112,10,40歲,32,19,51
平溪區,112,10,41歲,23,18,41
平溪區,112,10,42歲,33,19,52
平溪區,112,10,43歲,24,16,40
平溪區,112,10,44歲,23,20,43
平溪區,112,10,45歲,33,23,56
平溪區,112,10,46歲,40,26,66
平溪區,112,10,47歲,39,31,70
平溪區,112,10,48歲,31,27,58
平溪區,112,10,49歲,35,17,52
平溪區,112,10,50歲,36,23,59
平溪區,112,10,51歲,41,26,67
平溪區,112,10,52歲,47,22,69
平溪區,112,10,53歲,62,34,96
平溪區,112,10,54歲,60,24,84
平溪區,112,10,55歲,50,24,74
平溪區,112,10,56歲,56,30,86
平溪區,112,10,57歲,67,32,99
平溪區,112,10,58歲,62,41,103
平溪區,112,10,59歲,79,31,110
平溪區,112,10,60歲,60,29,89
平溪區,112,10,61歲,69,25,94
平溪區,112,10,62歲,68,32,100
平溪區,112,10,63歲,59,43,102
平溪區,112,10,64歲,69,22,91
平溪區,112,10,65歲,49,31,80
平溪區,112,10,66歲,50,27,77
平溪區,112,10,67歲,41,28,69
平溪區,112,10,68歲,55,29,84
平溪區,112,10,69歲,36,31,67
平溪區,112,10,70歲,45,34,79
平溪區,112,10,71歲,32,30,62
平溪區,112,10,72歲,27,27,54
平溪區,112,10,73歲,21,26,47
平溪區,112,10,74歲,30,31,61
平溪區,112,10,75歲,28,18,46
平溪區,112,10,76歲,21,20,41
平溪區,112,10,77歲,13,17,30
平溪區,112,10,78歲,15,23,38
平溪區,112,10,79歲,13,18,31
平溪區,112,10,80歲,17,27,44
平溪區,112,10,81歲,26,31,57
平溪區,112,10,82歲,23,39,62
平溪區,112,10,83歲,20,42,62
平溪區,112,10,84歲,14,34,48
平溪區,112,10,85歲,15,28,43
平溪區,112,10,86歲,12,27,39
平溪區,112,10,87歲,10,24,34
平溪區,112,10,88歲,7,16,23
平溪區,112,10,89歲,6,13,19
平溪區,112,10,90歲,1,8,9
平溪區,112,10,91歲,4,10,14
平溪區,112,10,92歲,3,10,13
平溪區,112,10,93歲,1,5,6
平溪區,112,10,94歲,1,5,6
平溪區,112,10,95歲,3,4,7
平溪區,112,10,96歲,2,7,9
平溪區,112,10,97歲,0,3,3
平溪區,112,10,98歲,0,1,1
平溪區,112,10,99歲,0,2,2
平溪區,112,10,100歲以上,0,2,2
總計,,,,2332,1821,4153


              
