行政區,年,月,年齡,男,女,合計
樹林區,112,6,0歲,482,459,941
樹林區,112,6,1歲,610,564,1174
樹林區,112,6,2歲,613,611,1224
樹林區,112,6,3歲,714,658,1372
樹林區,112,6,4歲,759,683,1442
樹林區,112,6,5歲,777,683,1460
樹林區,112,6,6歲,894,760,1654
樹林區,112,6,7歲,841,852,1693
樹林區,112,6,8歲,893,802,1695
樹林區,112,6,9歲,824,780,1604
樹林區,112,6,10歲,991,897,1888
樹林區,112,6,11歲,839,802,1641
樹林區,112,6,12歲,737,647,1384
樹林區,112,6,13歲,757,706,1463
樹林區,112,6,14歲,854,733,1587
樹林區,112,6,15歲,967,776,1743
樹林區,112,6,16歲,880,798,1678
樹林區,112,6,17歲,940,814,1754
樹林區,112,6,18歲,918,867,1785
樹林區,112,6,19歲,960,847,1807
樹林區,112,6,20歲,963,971,1934
樹林區,112,6,21歲,1019,960,1979
樹林區,112,6,22歲,1249,1107,2356
樹林區,112,6,23歲,1188,1110,2298
樹林區,112,6,24歲,1164,1081,2245
樹林區,112,6,25歲,1321,1094,2415
樹林區,112,6,26歲,1384,1257,2641
樹林區,112,6,27歲,1295,1197,2492
樹林區,112,6,28歲,1300,1221,2521
樹林區,112,6,29歲,1390,1251,2641
樹林區,112,6,30歲,1428,1257,2685
樹林區,112,6,31歲,1352,1278,2630
樹林區,112,6,32歲,1377,1243,2620
樹林區,112,6,33歲,1356,1212,2568
樹林區,112,6,34歲,1364,1245,2609
樹林區,112,6,35歲,1330,1190,2520
樹林區,112,6,36歲,1240,1244,2484
樹林區,112,6,37歲,1249,1240,2489
樹林區,112,6,38歲,1430,1391,2821
樹林區,112,6,39歲,1459,1524,2983
樹林區,112,6,40歲,1649,1623,3272
樹林區,112,6,41歲,1629,1735,3364
樹林區,112,6,42歲,1675,1694,3369
樹林區,112,6,43歲,1757,1651,3408
樹林區,112,6,44歲,1715,1714,3429
樹林區,112,6,45歲,1592,1606,3198
樹林區,112,6,46歲,1643,1698,3341
樹林區,112,6,47歲,1424,1468,2892
樹林區,112,6,48歲,1385,1389,2774
樹林區,112,6,49歲,1330,1344,2674
樹林區,112,6,50歲,1266,1425,2691
樹林區,112,6,51歲,1231,1371,2602
樹林區,112,6,52歲,1251,1358,2609
樹林區,112,6,53歲,1265,1426,2691
樹林區,112,6,54歲,1281,1318,2599
樹林區,112,6,55歲,1229,1366,2595
樹林區,112,6,56歲,1137,1431,2568
樹林區,112,6,57歲,1271,1440,2711
樹林區,112,6,58歲,1279,1430,2709
樹林區,112,6,59歲,1311,1430,2741
樹林區,112,6,60歲,1294,1496,2790
樹林區,112,6,61歲,1308,1483,2791
樹林區,112,6,62歲,1300,1431,2731
樹林區,112,6,63歲,1209,1380,2589
樹林區,112,6,64歲,1266,1403,2669
樹林區,112,6,65歲,1090,1315,2405
樹林區,112,6,66歲,1134,1299,2433
樹林區,112,6,67歲,1109,1315,2424
樹林區,112,6,68歲,1029,1191,2220
樹林區,112,6,69歲,967,1123,2090
樹林區,112,6,70歲,925,1012,1937
樹林區,112,6,71歲,895,965,1860
樹林區,112,6,72歲,806,853,1659
樹林區,112,6,73歲,650,644,1294
樹林區,112,6,74歲,560,622,1182
樹林區,112,6,75歲,456,499,955
樹林區,112,6,76歲,390,415,805
樹林區,112,6,77歲,265,313,578
樹林區,112,6,78歲,319,351,670
樹林區,112,6,79歲,306,362,668
樹林區,112,6,80歲,290,328,618
樹林區,112,6,81歲,246,313,559
樹林區,112,6,82歲,229,308,537
樹林區,112,6,83歲,215,265,480
樹林區,112,6,84歲,169,231,400
樹林區,112,6,85歲,146,201,347
樹林區,112,6,86歲,133,164,297
樹林區,112,6,87歲,106,154,260
樹林區,112,6,88歲,75,123,198
樹林區,112,6,89歲,61,93,154
樹林區,112,6,90歲,63,77,140
樹林區,112,6,91歲,51,66,117
樹林區,112,6,92歲,45,64,109
樹林區,112,6,93歲,33,40,73
樹林區,112,6,94歲,23,34,57
樹林區,112,6,95歲,17,29,46
樹林區,112,6,96歲,17,22,39
樹林區,112,6,97歲,7,11,18
樹林區,112,6,98歲,8,9,17
樹林區,112,6,99歲,5,6,11
樹林區,112,6,100歲以上,4,7,11
總計,,,,89649,90746,180395


              
