行政區,年,月,男,女,合計,年紀
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,2379,2041,4420,58歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,2256,2031,4287,59歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,711,710,1421,5歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,2120,2076,4196,60歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,2087,1929,4016,61歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1975,1872,3847,62歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1928,1806,3734,63歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1917,1933,3850,64歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1734,1863,3597,65歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1678,1738,3416,66歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1604,1616,3220,67歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1390,1396,2786,68歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1432,1482,2914,69歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,492,736,1228,6歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1315,1468,2783,70歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1337,1379,2716,71歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1283,1385,2668,72歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1034,1252,2286,73歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,890,1142,2032,74歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,761,832,1593,75歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,799,670,1469,76歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,409,477,886,77歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,643,734,1377,78歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,687,816,1503,79歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,709,620,1329,7歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,627,608,1235,80歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,729,657,1386,81歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,656,664,1320,82歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,495,719,1214,83歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,440,590,1030,84歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,419,474,893,85歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,350,479,829,86歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,321,454,775,87歲
