行政區,年,月,男,女,合計,年紀
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,743,510,1253,50歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,828,595,1423,51歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1021,664,1685,52歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,933,580,1513,53歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,956,720,1676,54歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1036,515,1551,55歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1045,480,1525,56歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,865,563,1428,57歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1021,597,1618,58歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1101,686,1787,59歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,150,130,280,5歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1080,701,1781,60歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1014,804,1818,61歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1101,630,1731,62歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1082,760,1842,63歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,1006,778,1784,64歲
