行政區,年,月,男,女,合計,年紀
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,775,604,1379,44歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,867,656,1523,45歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,818,484,1302,46歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,654,645,1299,47歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,685,446,1131,48歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,846,412,1258,49歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,111,163,274,4歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,935,564,1499,50歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,881,543,1424,51歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1147,616,1763,52歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,997,726,1723,53歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1092,618,1710,54歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1251,720,1971,55歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1175,616,1791,56歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1230,698,1928,57歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1270,762,2032,58歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1183,799,1982,59歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,124,160,284,5歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1179,787,1966,60歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1283,662,1945,61歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1222,718,1940,62歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1137,745,1882,63歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1181,788,1969,64歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1031,691,1722,65歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,1022,682,1704,66歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,990,819,1809,67歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,880,708,1588,68歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,859,781,1640,69歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,194,186,380,6歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,868,718,1586,70歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,832,774,1606,71歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,751,559,1310,72歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,739,749,1488,73歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,467,663,1130,74歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,523,437,960,75歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,458,299,757,76歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,243,325,568,77歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,392,491,883,78歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,357,471,828,79歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,254,138,392,7歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,371,412,783,80歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,353,603,956,81歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,358,499,857,82歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,336,534,870,83歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,256,465,721,84歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,213,429,642,85歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,246,444,690,86歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,196,436,632,87歲
