行政區,年,月,男,女,合計,年紀
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,772,642,1414,4歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1965,1840,3805,50歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2082,2047,4129,51歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2345,2415,4760,52歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2633,2361,4994,53歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2550,2572,5122,54歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2508,2216,4724,55歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2445,2211,4656,56歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2204,2425,4629,57歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2700,2451,5151,58歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2607,2655,5262,59歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,627,697,1324,5歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2760,2483,5243,60歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2572,2221,4793,61歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2450,2318,4768,62歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2437,2242,4679,63歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2383,2076,4459,64歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2166,2041,4207,65歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2179,2021,4200,66歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2427,2019,4446,67歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2394,1853,4247,68歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1871,1828,3699,69歲
