行政區,年,月,年齡,男,女,合計
金山區,112,11,0歲,42,48,90
金山區,112,11,1歲,57,51,108
金山區,112,11,2歲,47,34,81
金山區,112,11,3歲,54,43,97
金山區,112,11,4歲,53,40,93
金山區,112,11,5歲,59,58,117
金山區,112,11,6歲,37,64,101
金山區,112,11,7歲,55,55,110
金山區,112,11,8歲,65,42,107
金山區,112,11,9歲,58,58,116
金山區,112,11,10歲,66,41,107
金山區,112,11,11歲,61,67,128
金山區,112,11,12歲,49,46,95
金山區,112,11,13歲,53,55,108
金山區,112,11,14歲,66,60,126
金山區,112,11,15歲,75,66,141
金山區,112,11,16歲,75,88,163
金山區,112,11,17歲,83,82,165
金山區,112,11,18歲,86,61,147
金山區,112,11,19歲,101,86,187
金山區,112,11,20歲,109,109,218
金山區,112,11,21歲,108,125,233
金山區,112,11,22歲,109,118,227
金山區,112,11,23歲,154,116,270
金山區,112,11,24歲,151,116,267
金山區,112,11,25歲,123,133,256
金山區,112,11,26歲,140,162,302
金山區,112,11,27歲,154,141,295
金山區,112,11,28歲,155,155,310
金山區,112,11,29歲,124,166,290
金山區,112,11,30歲,153,144,297
金山區,112,11,31歲,138,156,294
金山區,112,11,32歲,131,126,257
金山區,112,11,33歲,139,143,282
金山區,112,11,34歲,118,117,235
金山區,112,11,35歲,116,133,249
金山區,112,11,36歲,125,111,236
金山區,112,11,37歲,105,108,213
金山區,112,11,38歲,126,157,283
金山區,112,11,39歲,115,168,283
金山區,112,11,40歲,131,164,295
金山區,112,11,41歲,161,192,353
金山區,112,11,42歲,165,175,340
金山區,112,11,43歲,152,171,323
金山區,112,11,44歲,174,201,375
金山區,112,11,45歲,181,207,388
金山區,112,11,46歲,177,193,370
金山區,112,11,47歲,163,176,339
金山區,112,11,48歲,160,174,334
金山區,112,11,49歲,173,198,371
金山區,112,11,50歲,177,144,321
金山區,112,11,51歲,155,169,324
金山區,112,11,52歲,180,160,340
金山區,112,11,53歲,190,176,366
金山區,112,11,54歲,206,172,378
金山區,112,11,55歲,192,186,378
金山區,112,11,56歲,182,189,371
金山區,112,11,57歲,184,188,372
金山區,112,11,58歲,189,169,358
金山區,112,11,59歲,199,178,377
金山區,112,11,60歲,171,161,332
金山區,112,11,61歲,169,178,347
金山區,112,11,62歲,180,150,330
金山區,112,11,63歲,155,153,308
金山區,112,11,64歲,170,149,319
金山區,112,11,65歲,147,161,308
金山區,112,11,66歲,132,137,269
金山區,112,11,67歲,133,158,291
金山區,112,11,68歲,127,114,241
金山區,112,11,69歲,113,110,223
金山區,112,11,70歲,112,139,251
金山區,112,11,71歲,116,107,223
金山區,112,11,72歲,111,124,235
金山區,112,11,73歲,89,111,200
金山區,112,11,74歲,77,95,172
金山區,112,11,75歲,58,77,135
金山區,112,11,76歲,72,61,133
金山區,112,11,77歲,43,44,87
金山區,112,11,78歲,43,48,91
金山區,112,11,79歲,56,65,121
金山區,112,11,80歲,56,62,118
金山區,112,11,81歲,55,48,103
金山區,112,11,82歲,60,51,111
金山區,112,11,83歲,42,64,106
金山區,112,11,84歲,39,49,88
金山區,112,11,85歲,32,42,74
金山區,112,11,86歲,34,36,70
金山區,112,11,87歲,18,39,57
金山區,112,11,88歲,32,32,64
金山區,112,11,89歲,22,25,47
金山區,112,11,90歲,11,31,42
金山區,112,11,91歲,11,20,31
金山區,112,11,92歲,10,20,30
金山區,112,11,93歲,10,17,27
金山區,112,11,94歲,4,10,14
金山區,112,11,95歲,5,8,13
金山區,112,11,96歲,2,4,6
金山區,112,11,97歲,3,6,9
金山區,112,11,98歲,2,1,3
金山區,112,11,99歲,2,5,7
金山區,112,11,100歲以上,2,2,4
總計,,,,10052,10345,20397


              
