行政區,年,月,年齡,男,女,合計
淡水區,112,8,0歲,473,467,940
淡水區,112,8,1歲,571,557,1128
淡水區,112,8,2歲,660,608,1268
淡水區,112,8,3歲,652,619,1271
淡水區,112,8,4歲,684,611,1295
淡水區,112,8,5歲,703,697,1400
淡水區,112,8,6歲,817,726,1543
淡水區,112,8,7歲,845,801,1646
淡水區,112,8,8歲,793,821,1614
淡水區,112,8,9歲,759,722,1481
淡水區,112,8,10歲,834,740,1574
淡水區,112,8,11歲,808,757,1565
淡水區,112,8,12歲,717,640,1357
淡水區,112,8,13歲,679,613,1292
淡水區,112,8,14歲,709,690,1399
淡水區,112,8,15歲,760,715,1475
淡水區,112,8,16歲,798,696,1494
淡水區,112,8,17歲,813,719,1532
淡水區,112,8,18歲,852,771,1623
淡水區,112,8,19歲,841,745,1586
淡水區,112,8,20歲,958,857,1815
淡水區,112,8,21歲,996,877,1873
淡水區,112,8,22歲,1136,1016,2152
淡水區,112,8,23歲,1131,1047,2178
淡水區,112,8,24歲,1112,1028,2140
淡水區,112,8,25歲,1167,1086,2253
淡水區,112,8,26歲,1266,1249,2515
淡水區,112,8,27歲,1328,1216,2544
淡水區,112,8,28歲,1283,1245,2528
淡水區,112,8,29歲,1381,1311,2692
淡水區,112,8,30歲,1354,1294,2648
淡水區,112,8,31歲,1395,1209,2604
淡水區,112,8,32歲,1324,1233,2557
淡水區,112,8,33歲,1347,1342,2689
淡水區,112,8,34歲,1282,1257,2539
淡水區,112,8,35歲,1255,1274,2529
淡水區,112,8,36歲,1174,1245,2419
淡水區,112,8,37歲,1214,1332,2546
淡水區,112,8,38歲,1338,1407,2745
淡水區,112,8,39歲,1469,1434,2903
淡水區,112,8,40歲,1550,1571,3121
淡水區,112,8,41歲,1594,1737,3331
淡水區,112,8,42歲,1633,1750,3383
淡水區,112,8,43歲,1602,1689,3291
淡水區,112,8,44歲,1646,1753,3399
淡水區,112,8,45歲,1472,1653,3125
淡水區,112,8,46歲,1570,1752,3322
淡水區,112,8,47歲,1527,1769,3296
淡水區,112,8,48歲,1423,1714,3137
淡水區,112,8,49歲,1414,1719,3133
淡水區,112,8,50歲,1387,1792,3179
淡水區,112,8,51歲,1366,1775,3141
淡水區,112,8,52歲,1487,1760,3247
淡水區,112,8,53歲,1538,1899,3437
淡水區,112,8,54歲,1440,1863,3303
淡水區,112,8,55歲,1464,1885,3349
淡水區,112,8,56歲,1419,1782,3201
淡水區,112,8,57歲,1440,1822,3262
淡水區,112,8,58歲,1432,1760,3192
淡水區,112,8,59歲,1503,1834,3337
淡水區,112,8,60歲,1483,1788,3271
淡水區,112,8,61歲,1371,1716,3087
淡水區,112,8,62歲,1404,1694,3098
淡水區,112,8,63歲,1249,1683,2932
淡水區,112,8,64歲,1299,1606,2905
淡水區,112,8,65歲,1283,1587,2870
淡水區,112,8,66歲,1232,1429,2661
淡水區,112,8,67歲,1251,1581,2832
淡水區,112,8,68歲,1179,1495,2674
淡水區,112,8,69歲,1053,1345,2398
淡水區,112,8,70歲,1108,1246,2354
淡水區,112,8,71歲,1082,1311,2393
淡水區,112,8,72歲,943,1188,2131
淡水區,112,8,73歲,833,972,1805
淡水區,112,8,74歲,719,903,1622
淡水區,112,8,75歲,601,761,1362
淡水區,112,8,76歲,461,618,1079
淡水區,112,8,77歲,327,405,732
淡水區,112,8,78歲,372,457,829
淡水區,112,8,79歲,397,475,872
淡水區,112,8,80歲,331,457,788
淡水區,112,8,81歲,315,458,773
淡水區,112,8,82歲,283,369,652
淡水區,112,8,83歲,255,355,610
淡水區,112,8,84歲,201,323,524
淡水區,112,8,85歲,187,281,468
淡水區,112,8,86歲,145,212,357
淡水區,112,8,87歲,127,197,324
淡水區,112,8,88歲,120,194,314
淡水區,112,8,89歲,90,137,227
淡水區,112,8,90歲,85,123,208
淡水區,112,8,91歲,90,111,201
淡水區,112,8,92歲,72,101,173
淡水區,112,8,93歲,72,82,154
淡水區,112,8,94歲,46,77,123
淡水區,112,8,95歲,43,52,95
淡水區,112,8,96歲,25,51,76
淡水區,112,8,97歲,14,29,43
淡水區,112,8,98歲,21,18,39
淡水區,112,8,99歲,11,11,22
淡水區,112,8,100歲以上,21,30,51
總計,,,,91786,100881,192667


              
