行政區,年,月,年齡,男,女,合計
林口區,112,11,0歲,441,444,885
林口區,112,11,1歲,643,550,1193
林口區,112,11,2歲,686,665,1351
林口區,112,11,3歲,726,691,1417
林口區,112,11,4歲,781,740,1521
林口區,112,11,5歲,785,752,1537
林口區,112,11,6歲,857,807,1664
林口區,112,11,7歲,934,895,1829
林口區,112,11,8歲,1016,886,1902
林口區,112,11,9歲,975,884,1859
林口區,112,11,10歲,879,871,1750
林口區,112,11,11歲,1079,981,2060
林口區,112,11,12歲,900,851,1751
林口區,112,11,13歲,713,601,1314
林口區,112,11,14歲,731,745,1476
林口區,112,11,15歲,713,661,1374
林口區,112,11,16歲,656,652,1308
林口區,112,11,17歲,658,599,1257
林口區,112,11,18歲,614,529,1143
林口區,112,11,19歲,653,587,1240
林口區,112,11,20歲,650,535,1185
林口區,112,11,21歲,652,591,1243
林口區,112,11,22歲,670,633,1303
林口區,112,11,23歲,829,737,1566
林口區,112,11,24歲,713,678,1391
林口區,112,11,25歲,707,718,1425
林口區,112,11,26歲,863,776,1639
林口區,112,11,27歲,810,770,1580
林口區,112,11,28歲,844,799,1643
林口區,112,11,29歲,869,849,1718
林口區,112,11,30歲,805,856,1661
林口區,112,11,31歲,825,823,1648
林口區,112,11,32歲,874,841,1715
林口區,112,11,33歲,962,978,1940
林口區,112,11,34歲,894,965,1859
林口區,112,11,35歲,929,1063,1992
林口區,112,11,36歲,891,941,1832
林口區,112,11,37歲,885,941,1826
林口區,112,11,38歲,947,1138,2085
林口區,112,11,39歲,1063,1198,2261
林口區,112,11,40歲,1062,1248,2310
林口區,112,11,41歲,1100,1426,2526
林口區,112,11,42歲,1277,1425,2702
林口區,112,11,43歲,1211,1300,2511
林口區,112,11,44歲,1175,1426,2601
林口區,112,11,45歲,1270,1421,2691
林口區,112,11,46歲,1173,1331,2504
林口區,112,11,47歲,1269,1401,2670
林口區,112,11,48歲,1047,1137,2184
林口區,112,11,49歲,1023,1044,2067
林口區,112,11,50歲,959,1125,2084
林口區,112,11,51歲,930,1031,1961
林口區,112,11,52歲,930,1015,1945
林口區,112,11,53歲,892,1044,1936
林口區,112,11,54歲,897,1024,1921
林口區,112,11,55歲,910,959,1869
林口區,112,11,56歲,804,958,1762
林口區,112,11,57歲,823,1006,1829
林口區,112,11,58歲,834,943,1777
林口區,112,11,59歲,884,944,1828
林口區,112,11,60歲,783,988,1771
林口區,112,11,61歲,786,879,1665
林口區,112,11,62歲,773,836,1609
林口區,112,11,63歲,728,866,1594
林口區,112,11,64歲,763,844,1607
林口區,112,11,65歲,669,743,1412
林口區,112,11,66歲,607,717,1324
林口區,112,11,67歲,645,725,1370
林口區,112,11,68歲,609,703,1312
林口區,112,11,69歲,541,671,1212
林口區,112,11,70歲,542,680,1222
林口區,112,11,71歲,552,574,1126
林口區,112,11,72歲,477,614,1091
林口區,112,11,73歲,405,521,926
林口區,112,11,74歲,369,465,834
林口區,112,11,75歲,314,349,663
林口區,112,11,76歲,283,331,614
林口區,112,11,77歲,173,246,419
林口區,112,11,78歲,192,223,415
林口區,112,11,79歲,202,215,417
林口區,112,11,80歲,186,240,426
林口區,112,11,81歲,161,193,354
林口區,112,11,82歲,137,185,322
林口區,112,11,83歲,137,170,307
林口區,112,11,84歲,106,151,257
林口區,112,11,85歲,88,128,216
林口區,112,11,86歲,66,109,175
林口區,112,11,87歲,71,86,157
林口區,112,11,88歲,56,93,149
林口區,112,11,89歲,31,70,101
林口區,112,11,90歲,28,60,88
林口區,112,11,91歲,31,53,84
林口區,112,11,92歲,35,45,80
林口區,112,11,93歲,31,33,64
林口區,112,11,94歲,21,26,47
林口區,112,11,95歲,12,21,33
林口區,112,11,96歲,18,24,42
林口區,112,11,97歲,12,14,26
林口區,112,11,98歲,8,10,18
林口區,112,11,99歲,4,13,17
林口區,112,11,100歲以上,15,14,29
總計,,,,64259,68357,132616


              
