¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
·çªÚ°Ï,112,11,0·³,69,79,148
·çªÚ°Ï,112,11,1·³,95,79,174
·çªÚ°Ï,112,11,2·³,89,93,182
·çªÚ°Ï,112,11,3·³,100,105,205
·çªÚ°Ï,112,11,4·³,108,96,204
·çªÚ°Ï,112,11,5·³,98,98,196
·çªÚ°Ï,112,11,6·³,122,100,222
·çªÚ°Ï,112,11,7·³,121,102,223
·çªÚ°Ï,112,11,8·³,113,117,230
·çªÚ°Ï,112,11,9·³,109,128,237
·çªÚ°Ï,112,11,10·³,95,117,212
·çªÚ°Ï,112,11,11·³,105,112,217
·çªÚ°Ï,112,11,12·³,98,99,197
·çªÚ°Ï,112,11,13·³,86,88,174
·çªÚ°Ï,112,11,14·³,122,84,206
·çªÚ°Ï,112,11,15·³,125,104,229
·çªÚ°Ï,112,11,16·³,127,130,257
·çªÚ°Ï,112,11,17·³,135,134,269
·çªÚ°Ï,112,11,18·³,151,137,288
·çªÚ°Ï,112,11,19·³,170,155,325
·çªÚ°Ï,112,11,20·³,169,169,338
·çªÚ°Ï,112,11,21·³,210,210,420
·çªÚ°Ï,112,11,22·³,223,214,437
·çªÚ°Ï,112,11,23·³,248,206,454
·çªÚ°Ï,112,11,24·³,234,193,427
·çªÚ°Ï,112,11,25·³,186,210,396
·çªÚ°Ï,112,11,26·³,224,233,457
·çªÚ°Ï,112,11,27·³,253,213,466
·çªÚ°Ï,112,11,28·³,270,209,479
·çªÚ°Ï,112,11,29·³,270,258,528
·çªÚ°Ï,112,11,30·³,277,248,525
·çªÚ°Ï,112,11,31·³,292,214,506
·çªÚ°Ï,112,11,32·³,290,235,525
·çªÚ°Ï,112,11,33·³,286,242,528
·çªÚ°Ï,112,11,34·³,257,207,464
·çªÚ°Ï,112,11,35·³,257,237,494
·çªÚ°Ï,112,11,36·³,235,211,446
·çªÚ°Ï,112,11,37·³,199,198,397
·çªÚ°Ï,112,11,38·³,266,242,508
·çªÚ°Ï,112,11,39·³,245,229,474
·çªÚ°Ï,112,11,40·³,271,254,525
·çªÚ°Ï,112,11,41·³,255,289,544
·çªÚ°Ï,112,11,42·³,261,281,542
·çªÚ°Ï,112,11,43·³,267,269,536
·çªÚ°Ï,112,11,44·³,286,278,564
·çªÚ°Ï,112,11,45·³,249,285,534
·çªÚ°Ï,112,11,46·³,277,251,528
·çªÚ°Ï,112,11,47·³,296,251,547
·çªÚ°Ï,112,11,48·³,275,284,559
·çªÚ°Ï,112,11,49·³,264,284,548
·çªÚ°Ï,112,11,50·³,273,234,507
·çªÚ°Ï,112,11,51·³,327,292,619
·çªÚ°Ï,112,11,52·³,292,325,617
·çªÚ°Ï,112,11,53·³,363,312,675
·çªÚ°Ï,112,11,54·³,401,313,714
·çªÚ°Ï,112,11,55·³,355,328,683
·çªÚ°Ï,112,11,56·³,386,316,702
·çªÚ°Ï,112,11,57·³,397,357,754
·çªÚ°Ï,112,11,58·³,385,336,721
·çªÚ°Ï,112,11,59·³,396,317,713
·çªÚ°Ï,112,11,60·³,419,324,743
·çªÚ°Ï,112,11,61·³,349,326,675
·çªÚ°Ï,112,11,62·³,367,324,691
·çªÚ°Ï,112,11,63·³,338,303,641
·çªÚ°Ï,112,11,64·³,343,328,671
·çªÚ°Ï,112,11,65·³,310,284,594
·çªÚ°Ï,112,11,66·³,301,240,541
·çªÚ°Ï,112,11,67·³,318,294,612
·çªÚ°Ï,112,11,68·³,249,272,521
·çªÚ°Ï,112,11,69·³,232,243,475
·çªÚ°Ï,112,11,70·³,213,236,449
·çªÚ°Ï,112,11,71·³,219,229,448
·çªÚ°Ï,112,11,72·³,202,248,450
·çªÚ°Ï,112,11,73·³,139,191,330
·çªÚ°Ï,112,11,74·³,169,189,358
·çªÚ°Ï,112,11,75·³,113,147,260
·çªÚ°Ï,112,11,76·³,87,116,203
·çªÚ°Ï,112,11,77·³,66,92,158
·çªÚ°Ï,112,11,78·³,60,104,164
·çªÚ°Ï,112,11,79·³,90,139,229
·çªÚ°Ï,112,11,80·³,78,129,207
·çªÚ°Ï,112,11,81·³,76,135,211
·çªÚ°Ï,112,11,82·³,98,130,228
·çªÚ°Ï,112,11,83·³,96,127,223
·çªÚ°Ï,112,11,84·³,72,148,220
·çªÚ°Ï,112,11,85·³,71,121,192
·çªÚ°Ï,112,11,86·³,63,116,179
·çªÚ°Ï,112,11,87·³,45,94,139
·çªÚ°Ï,112,11,88·³,45,85,130
·çªÚ°Ï,112,11,89·³,28,74,102
·çªÚ°Ï,112,11,90·³,16,63,79
·çªÚ°Ï,112,11,91·³,19,56,75
·çªÚ°Ï,112,11,92·³,15,54,69
·çªÚ°Ï,112,11,93·³,10,26,36
·çªÚ°Ï,112,11,94·³,11,30,41
·çªÚ°Ï,112,11,95·³,5,23,28
·çªÚ°Ï,112,11,96·³,6,15,21
·çªÚ°Ï,112,11,97·³,4,9,13
·çªÚ°Ï,112,11,98·³,1,12,13
·çªÚ°Ï,112,11,99·³,2,8,10
·çªÚ°Ï,112,11,100·³¥H¤W,4,7,11
Á`­p,,,,18754,18482,37236


              
