¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
·çªÚ°Ï,112,5,0·³,91,75,166
·çªÚ°Ï,112,5,1·³,88,92,180
·çªÚ°Ï,112,5,2·³,83,104,187
·çªÚ°Ï,112,5,3·³,107,95,202
·çªÚ°Ï,112,5,4·³,107,110,217
·çªÚ°Ï,112,5,5·³,103,92,195
·çªÚ°Ï,112,5,6·³,124,98,222
·çªÚ°Ï,112,5,7·³,130,125,255
·çªÚ°Ï,112,5,8·³,106,115,221
·çªÚ°Ï,112,5,9·³,92,107,199
·çªÚ°Ï,112,5,10·³,104,130,234
·çªÚ°Ï,112,5,11·³,109,110,219
·çªÚ°Ï,112,5,12·³,83,90,173
·çªÚ°Ï,112,5,13·³,94,77,171
·çªÚ°Ï,112,5,14·³,125,93,218
·çªÚ°Ï,112,5,15·³,104,114,218
·çªÚ°Ï,112,5,16·³,141,128,269
·çªÚ°Ï,112,5,17·³,132,134,266
·çªÚ°Ï,112,5,18·³,150,154,304
·çªÚ°Ï,112,5,19·³,188,155,343
·çªÚ°Ï,112,5,20·³,199,198,397
·çªÚ°Ï,112,5,21·³,208,189,397
·çªÚ°Ï,112,5,22·³,249,228,477
·çªÚ°Ï,112,5,23·³,228,196,424
·çªÚ°Ï,112,5,24·³,211,199,410
·çªÚ°Ï,112,5,25·³,215,217,432
·çªÚ°Ï,112,5,26·³,228,231,459
·çªÚ°Ï,112,5,27·³,268,232,500
·çªÚ°Ï,112,5,28·³,273,229,502
·çªÚ°Ï,112,5,29·³,275,256,531
·çªÚ°Ï,112,5,30·³,299,246,545
·çªÚ°Ï,112,5,31·³,302,206,508
·çªÚ°Ï,112,5,32·³,303,245,548
·çªÚ°Ï,112,5,33·³,269,236,505
·çªÚ°Ï,112,5,34·³,270,216,486
·çªÚ°Ï,112,5,35·³,224,246,470
·çªÚ°Ï,112,5,36·³,236,196,432
·çªÚ°Ï,112,5,37·³,235,220,455
·çªÚ°Ï,112,5,38·³,247,227,474
·çªÚ°Ï,112,5,39·³,250,237,487
·çªÚ°Ï,112,5,40·³,273,300,573
·çªÚ°Ï,112,5,41·³,264,266,530
·çªÚ°Ï,112,5,42·³,279,289,568
·çªÚ°Ï,112,5,43·³,267,276,543
·çªÚ°Ï,112,5,44·³,268,277,545
·çªÚ°Ï,112,5,45·³,265,256,521
·çªÚ°Ï,112,5,46·³,276,275,551
·çªÚ°Ï,112,5,47·³,290,244,534
·çªÚ°Ï,112,5,48·³,271,314,585
·çªÚ°Ï,112,5,49·³,244,239,483
·çªÚ°Ï,112,5,50·³,330,283,613
·çªÚ°Ï,112,5,51·³,288,301,589
·çªÚ°Ï,112,5,52·³,331,321,652
·çªÚ°Ï,112,5,53·³,392,319,711
·çªÚ°Ï,112,5,54·³,367,307,674
·çªÚ°Ï,112,5,55·³,367,322,689
·çªÚ°Ï,112,5,56·³,396,338,734
·çªÚ°Ï,112,5,57·³,402,367,769
·çªÚ°Ï,112,5,58·³,378,302,680
·çªÚ°Ï,112,5,59·³,410,322,732
·çªÚ°Ï,112,5,60·³,403,337,740
·çªÚ°Ï,112,5,61·³,352,330,682
·çªÚ°Ï,112,5,62·³,330,295,625
·çªÚ°Ï,112,5,63·³,355,317,672
·çªÚ°Ï,112,5,64·³,338,337,675
·çªÚ°Ï,112,5,65·³,309,251,560
·çªÚ°Ï,112,5,66·³,316,274,590
·çªÚ°Ï,112,5,67·³,285,248,533
·çªÚ°Ï,112,5,68·³,235,286,521
·çªÚ°Ï,112,5,69·³,225,231,456
·çªÚ°Ï,112,5,70·³,219,227,446
·çªÚ°Ï,112,5,71·³,225,252,477
·çªÚ°Ï,112,5,72·³,171,210,381
·çªÚ°Ï,112,5,73·³,137,193,330
·çªÚ°Ï,112,5,74·³,157,189,346
·çªÚ°Ï,112,5,75·³,117,133,250
·çªÚ°Ï,112,5,76·³,75,114,189
·çªÚ°Ï,112,5,77·³,52,71,123
·çªÚ°Ï,112,5,78·³,83,133,216
·çªÚ°Ï,112,5,79·³,86,135,221
·çªÚ°Ï,112,5,80·³,85,142,227
·çªÚ°Ï,112,5,81·³,84,137,221
·çªÚ°Ï,112,5,82·³,110,128,238
·çªÚ°Ï,112,5,83·³,86,133,219
·çªÚ°Ï,112,5,84·³,68,157,225
·çªÚ°Ï,112,5,85·³,80,125,205
·çªÚ°Ï,112,5,86·³,61,104,165
·çªÚ°Ï,112,5,87·³,46,91,137
·çªÚ°Ï,112,5,88·³,39,85,124
·çªÚ°Ï,112,5,89·³,30,81,111
·çªÚ°Ï,112,5,90·³,19,56,75
·çªÚ°Ï,112,5,91·³,20,62,82
·çªÚ°Ï,112,5,92·³,16,49,65
·çªÚ°Ï,112,5,93·³,17,37,54
·çªÚ°Ï,112,5,94·³,9,19,28
·çªÚ°Ï,112,5,95·³,9,25,34
·çªÚ°Ï,112,5,96·³,6,14,20
·çªÚ°Ï,112,5,97·³,4,10,14
·çªÚ°Ï,112,5,98·³,3,6,9
·çªÚ°Ï,112,5,99·³,1,10,11
·çªÚ°Ï,112,5,100·³¥H¤W,6,6,12
Á`­p,,,,18877,18606,37483


              
