行政區,年,月,年齡,男,女,合計
三峽區,112,8,0歲,326,313,639
三峽區,112,8,1歲,394,344,738
三峽區,112,8,2歲,439,378,817
三峽區,112,8,3歲,488,459,947
三峽區,112,8,4歲,538,485,1023
三峽區,112,8,5歲,543,498,1041
三峽區,112,8,6歲,555,543,1098
三峽區,112,8,7歲,652,556,1208
三峽區,112,8,8歲,646,584,1230
三峽區,112,8,9歲,547,537,1084
三峽區,112,8,10歲,629,553,1182
三峽區,112,8,11歲,611,576,1187
三峽區,112,8,12歲,548,527,1075
三峽區,112,8,13歲,536,454,990
三峽區,112,8,14歲,577,511,1088
三峽區,112,8,15歲,643,560,1203
三峽區,112,8,16歲,578,562,1140
三峽區,112,8,17歲,564,547,1111
三峽區,112,8,18歲,568,553,1121
三峽區,112,8,19歲,655,522,1177
三峽區,112,8,20歲,630,564,1194
三峽區,112,8,21歲,717,637,1354
三峽區,112,8,22歲,826,716,1542
三峽區,112,8,23歲,846,741,1587
三峽區,112,8,24歲,739,731,1470
三峽區,112,8,25歲,810,725,1535
三峽區,112,8,26歲,903,768,1671
三峽區,112,8,27歲,883,828,1711
三峽區,112,8,28歲,917,775,1692
三峽區,112,8,29歲,883,773,1656
三峽區,112,8,30歲,872,751,1623
三峽區,112,8,31歲,787,802,1589
三峽區,112,8,32歲,826,763,1589
三峽區,112,8,33歲,854,796,1650
三峽區,112,8,34歲,779,694,1473
三峽區,112,8,35歲,772,769,1541
三峽區,112,8,36歲,780,765,1545
三峽區,112,8,37歲,748,738,1486
三峽區,112,8,38歲,808,803,1611
三峽區,112,8,39歲,853,924,1777
三峽區,112,8,40歲,884,949,1833
三峽區,112,8,41歲,889,990,1879
三峽區,112,8,42歲,954,998,1952
三峽區,112,8,43歲,925,993,1918
三峽區,112,8,44歲,917,1027,1944
三峽區,112,8,45歲,960,1073,2033
三峽區,112,8,46歲,975,1043,2018
三峽區,112,8,47歲,936,1002,1938
三峽區,112,8,48歲,893,924,1817
三峽區,112,8,49歲,937,917,1854
三峽區,112,8,50歲,883,931,1814
三峽區,112,8,51歲,836,901,1737
三峽區,112,8,52歲,900,973,1873
三峽區,112,8,53歲,886,973,1859
三峽區,112,8,54歲,851,959,1810
三峽區,112,8,55歲,895,928,1823
三峽區,112,8,56歲,918,951,1869
三峽區,112,8,57歲,888,970,1858
三峽區,112,8,58歲,931,928,1859
三峽區,112,8,59歲,962,935,1897
三峽區,112,8,60歲,839,928,1767
三峽區,112,8,61歲,851,935,1786
三峽區,112,8,62歲,815,847,1662
三峽區,112,8,63歲,824,852,1676
三峽區,112,8,64歲,811,804,1615
三峽區,112,8,65歲,671,739,1410
三峽區,112,8,66歲,680,745,1425
三峽區,112,8,67歲,701,684,1385
三峽區,112,8,68歲,630,673,1303
三峽區,112,8,69歲,568,596,1164
三峽區,112,8,70歲,544,566,1110
三峽區,112,8,71歲,548,593,1141
三峽區,112,8,72歲,470,561,1031
三峽區,112,8,73歲,340,389,729
三峽區,112,8,74歲,337,407,744
三峽區,112,8,75歲,285,338,623
三峽區,112,8,76歲,205,269,474
三峽區,112,8,77歲,168,190,358
三峽區,112,8,78歲,188,237,425
三峽區,112,8,79歲,196,261,457
三峽區,112,8,80歲,168,229,397
三峽區,112,8,81歲,176,220,396
三峽區,112,8,82歲,169,186,355
三峽區,112,8,83歲,139,212,351
三峽區,112,8,84歲,126,183,309
三峽區,112,8,85歲,111,159,270
三峽區,112,8,86歲,95,143,238
三峽區,112,8,87歲,72,133,205
三峽區,112,8,88歲,71,107,178
三峽區,112,8,89歲,48,89,137
三峽區,112,8,90歲,44,70,114
三峽區,112,8,91歲,47,51,98
三峽區,112,8,92歲,42,52,94
三峽區,112,8,93歲,35,39,74
三峽區,112,8,94歲,22,26,48
三峽區,112,8,95歲,20,23,43
三峽區,112,8,96歲,15,23,38
三峽區,112,8,97歲,11,13,24
三峽區,112,8,98歲,12,8,20
三峽區,112,8,99歲,5,9,14
三峽區,112,8,100歲以上,11,9,20
總計,,,,57600,58088,115688


              
