行政區,年,月,年齡,男,女,合計
三峽區,112,7,0歲,318,307,625
三峽區,112,7,1歲,389,347,736
三峽區,112,7,2歲,454,378,832
三峽區,112,7,3歲,476,474,950
三峽區,112,7,4歲,543,491,1034
三峽區,112,7,5歲,542,488,1030
三峽區,112,7,6歲,571,537,1108
三峽區,112,7,7歲,642,561,1203
三峽區,112,7,8歲,651,582,1233
三峽區,112,7,9歲,535,528,1063
三峽區,112,7,10歲,645,560,1205
三峽區,112,7,11歲,597,573,1170
三峽區,112,7,12歲,541,516,1057
三峽區,112,7,13歲,547,453,1000
三峽區,112,7,14歲,593,523,1116
三峽區,112,7,15歲,642,560,1202
三峽區,112,7,16歲,573,560,1133
三峽區,112,7,17歲,543,549,1092
三峽區,112,7,18歲,595,562,1157
三峽區,112,7,19歲,654,507,1161
三峽區,112,7,20歲,644,584,1228
三峽區,112,7,21歲,715,648,1363
三峽區,112,7,22歲,842,725,1567
三峽區,112,7,23歲,831,738,1569
三峽區,112,7,24歲,735,735,1470
三峽區,112,7,25歲,813,705,1518
三峽區,112,7,26歲,919,791,1710
三峽區,112,7,27歲,886,820,1706
三峽區,112,7,28歲,912,774,1686
三峽區,112,7,29歲,876,763,1639
三峽區,112,7,30歲,876,761,1637
三峽區,112,7,31歲,791,811,1602
三峽區,112,7,32歲,841,773,1614
三峽區,112,7,33歲,832,787,1619
三峽區,112,7,34歲,797,685,1482
三峽區,112,7,35歲,743,790,1533
三峽區,112,7,36歲,796,747,1543
三峽區,112,7,37歲,756,750,1506
三峽區,112,7,38歲,807,807,1614
三峽區,112,7,39歲,866,951,1817
三峽區,112,7,40歲,880,934,1814
三峽區,112,7,41歲,881,998,1879
三峽區,112,7,42歲,945,1001,1946
三峽區,112,7,43歲,936,988,1924
三峽區,112,7,44歲,929,1042,1971
三峽區,112,7,45歲,939,1065,2004
三峽區,112,7,46歲,991,1043,2034
三峽區,112,7,47歲,931,982,1913
三峽區,112,7,48歲,919,943,1862
三峽區,112,7,49歲,910,901,1811
三峽區,112,7,50歲,885,923,1808
三峽區,112,7,51歲,844,898,1742
三峽區,112,7,52歲,905,996,1901
三峽區,112,7,53歲,867,971,1838
三峽區,112,7,54歲,863,979,1842
三峽區,112,7,55歲,892,900,1792
三峽區,112,7,56歲,915,945,1860
三峽區,112,7,57歲,900,982,1882
三峽區,112,7,58歲,938,922,1860
三峽區,112,7,59歲,954,942,1896
三峽區,112,7,60歲,856,925,1781
三峽區,112,7,61歲,839,933,1772
三峽區,112,7,62歲,805,830,1635
三峽區,112,7,63歲,827,842,1669
三峽區,112,7,64歲,806,804,1610
三峽區,112,7,65歲,674,720,1394
三峽區,112,7,66歲,702,767,1469
三峽區,112,7,67歲,680,665,1345
三峽區,112,7,68歲,617,682,1299
三峽區,112,7,69歲,559,582,1141
三峽區,112,7,70歲,555,576,1131
三峽區,112,7,71歲,540,592,1132
三峽區,112,7,72歲,459,551,1010
三峽區,112,7,73歲,332,404,736
三峽區,112,7,74歲,332,383,715
三峽區,112,7,75歲,284,328,612
三峽區,112,7,76歲,196,274,470
三峽區,112,7,77歲,164,191,355
三峽區,112,7,78歲,194,237,431
三峽區,112,7,79歲,202,265,467
三峽區,112,7,80歲,169,226,395
三峽區,112,7,81歲,176,222,398
三峽區,112,7,82歲,166,186,352
三峽區,112,7,83歲,140,208,348
三峽區,112,7,84歲,126,181,307
三峽區,112,7,85歲,108,153,261
三峽區,112,7,86歲,93,147,240
三峽區,112,7,87歲,72,134,206
三峽區,112,7,88歲,70,108,178
三峽區,112,7,89歲,49,83,132
三峽區,112,7,90歲,47,72,119
三峽區,112,7,91歲,47,53,100
三峽區,112,7,92歲,42,50,92
三峽區,112,7,93歲,35,40,75
三峽區,112,7,94歲,20,27,47
三峽區,112,7,95歲,25,21,46
三峽區,112,7,96歲,13,22,35
三峽區,112,7,97歲,11,14,25
三峽區,112,7,98歲,12,8,20
三峽區,112,7,99歲,6,7,13
三峽區,112,7,100歲以上,10,9,19
總計,,,,57613,58078,115691


              
