name,star,comment,class,address,latitude,longitude
BRAND OFF 台北本店,3.3,24,百貨公司,台北市大安區復興南路一段148號,25.0424426,121.543552
典精品名店,3.3,3,百貨公司,台北市大安區敦化南路一段190巷29號,25.0427938,121.5474623
小胖家族生活五金百貨,0.0,0,五金用品店,台北市文山區指南路一段30號,24.9875765,121.5695824
萬華企業股份有限公司,5.0,1,百貨公司,台北市萬華區峨眉街52號,25.0437579,121.5053916
Porter International 武昌誠品,4.8,32,百貨公司,台北市萬華區武昌街二段77號 1樓,25.0451617,121.5055717
龍山商場,3.8,287,百貨公司,台北市萬華區和平西路三段120號,25.0349881,121.4998885
家樂福 三民店,4.1,4,大型超級市場,台北市松山區三民路160號,25.0616811,121.563672
全館生活百貨,2.9,90,家居用品店,台北市萬華區西寧南路219號一樓,25.0406089,121.5062597
龍山寺地下街商場,3.7,994,購物中心,台北市萬華區西園路一段145號,25.0360914,121.500261
艋舺服飾商圈,3.9,151,購物中心,台北市萬華區,25.0343459,121.4994553
西門紅樓16工房,4.2,193,購物中心,台北市萬華區成都路10號,25.0420343,121.5067255
艷豐百貨行,5.0,7,商店,台北市萬華區東園街140巷28號,25.02305,121.4964835
臺北市公有西門商場,3.8,9,購物中心,台北市萬華區成都路10巷33號號,25.041711,121.50678
大理街服飾商圈,3.9,171,購物中心,台北市萬華區,25.0346347,121.5001533
家樂福 桂林店,4.1,22,大型超級市場,台北市萬華區桂林路1號,25.0376995,121.5062259
全聯福利中心Pxmart 松山健康,3.9,441,平價超級市場,台北市松山區健康路243號B1,25.0543876,121.5633466
市聯購物中心,4.3,27,購物中心,台北市萬華區雙園街28號,25.0295624,121.494456
MOMO百貨,3.9,38,百貨公司,台北市松山區敦化北路,25.0519796,121.5481504
林花毛巾百貨行,4.1,70,百貨公司,台北市萬華區萬大路188號1樓,25.0277165,121.5003555
美安SHOP.COM經銷商 西寧南路,0.0,0,百貨公司,台北市萬華區西寧南路48-3號2樓,25.044426,121.506284
嘉莉有限公司,0.0,0,百貨公司,台灣台北市 萬華區西寧南路70號3樓之25,25.043508,121.505886
秋信百貨行,4.3,6,百貨公司,台北市萬華區長沙街二段177號,25.0407486,121.5015131
大川牛仔,0.0,0,百貨公司,台北市萬華區西寧南路70號三樓之25,25.0435745,121.5057826
購好買 - 西園店,5.0,2,百貨公司,台北市萬華區西園路二段261巷29號一樓,25.0251005,121.4933739
鞋霸精品名店,3.0,1,百貨公司,台北市萬華區西寧南路70號2號樓之3,25.0434566,121.5060413
小北百貨 台北康定店,4.0,1,五金用品店,台北市萬華區康定路338號,25.0354222,121.5011051
上易生活百貨萬大店,4.1,39,家居用品店,台北市萬華區萬大路458號,25.0203077,121.4976641
西門新宿,3.8,1,百貨公司,台北市萬華區西寧南路72號之1,25.0431162,121.505782
三越五金有限公司,0.0,0,五金用品店,台北市萬華區環河南路一段110號,25.046936,121.5041757
恆好貿易有限公司,0.0,0,商店,台灣萬華區艋舺大道,25.032459,121.495979
麗洋實業有限公司,0.0,0,家居用品店,台北市萬華區中華路二段305巷9號,25.0293239,121.505295
元大鑫五金有限公司,4.6,28,五金用品店,台北市萬華區西昌街93號,25.0411846,121.5009106
銘成有限公司,0.0,0,商店,台北市萬華區莒光路195號,25.0310473,121.5019189
春徠國際股份有限公司,0.0,0,家居用品店,台北市萬華區西園路二段131號2樓,25.029634,121.4962774
東芳美容材料行（台北通-熊好券饗購券配合店家）,5.0,4,商店,台北市萬華區東園街110號,25.024219,121.497161
Guy-Shop,4.8,188,百貨公司,台北市萬華區內江路51號號地下室,25.0417912,121.5053051
名億五金有限公司,4.8,81,五金用品店,台北市萬華區環河南路一段246號,25.0460832,121.5030079
怡豐貿易有限公司,0.0,0,商店,台北市萬華區和平西路三段49號,25.0353539,121.5027558
成芳商店,0.0,0,百貨公司,新北市三峽區成福路276號,24.9234064,121.4281675
台灣屈臣氏個人用品商店股份有限公司,5.0,1,百貨公司,"台灣省新北市 三峽區大學路150號之2, 1樓",24.9445632,121.3743822
SHOWBA小北百貨-新北三峽中華店,4.3,308,家居用品店,新北市三峽區中華路20號,24.9328005,121.3743485
86生活百貨,0.0,0,家居用品店,新北市三峽區三樹路86號,24.9385527,121.3782924
北大商場,3.6,390,購物中心,新北市三峽區國際一街19號,24.9426464,121.3737687
北大生活五金百貨,4.4,139,五金用品店,新北市三峽區國際一街34號,24.9427343,121.3734666
發記能源有限公司,1.0,1,商店,台灣省新北市 三峽區中華路20號10樓之1,24.9328645,121.3742197
緯昇五金,3.9,40,百貨公司,新北市三峽區光明路69巷1號,24.9287377,121.3757771
雅品企業有限公司,5.0,1,百貨公司,新北市樹林區學成路591號,24.9462016,121.3808578
跳蚤本舖 三峽大同舖,3.7,144,百貨公司,新北市三峽區大同路77號,24.9272405,121.3751365
特力屋 台北三峽店,4.1,922,購物中心,新北市樹林區大成路85號B1,24.9476402,121.3814919
漢昇五金超市（三峽五金行-建築五金-家庭五金-板模五金-水電材料-土木五金-$,4.2,516,五金用品店,新北市三峽區中正路一段396-1號,24.9230735,121.3706401
鶯歌光點美學館,4.3,1,百貨公司,新北市鶯歌區陶瓷街18號,24.951662,121.3486404
瑞誠五金行,4.4,92,五金用品店,新北市三峽區介壽路一段141號,24.9317024,121.3764586
大台美百貨有限公司,4.0,361,商店,新北市新莊區龍安路288號,25.0189835,121.4225633
金興發生活百貨(總公司),3.7,7,百貨公司,新北市中和區橋和路17號16樓,25.0054113,121.4889643
環球購物中心股份有限公司,4.5,37,百貨公司,臺灣省新北市 中和區中山路三段122號2樓,25.0066732,121.4747785
板橋大遠百,4.3,5,百貨公司,新北市板橋區新站路28號,25.0140651,121.4673332
川郡科技有限公司,0.0,0,百貨公司,台灣新北市 永和區中正路527號5樓之6,25.0077288,121.5168007
遠東百貨 板橋中山店,4.0,12,百貨公司,新北市板橋區中山路一段152號,25.0109757,121.4644519
玉隆百貨有限公司,0.0,0,百貨公司,新北市永和區林森路48巷3號1樓,25.0047078,121.5245283
欣潮百貨行,5.0,12,百貨公司,新北市中和區信義街42號,24.9888763,121.5111781
青菜都夾的到,4.8,4,百貨公司,新北市三峽區大同路88巷1號,24.9277646,121.3756502
統友生活百貨 - 三芝店,4.1,267,家居用品店,新北市三芝區淡金路二段41號之1號1樓,25.2599675,121.5035173
安德魯流行館,4.1,9,家居用品店,新北市三芝區中山路一段67號,25.257143,121.500948
聖豐水電五金材料有限公司/三芝水電材料/三芝五金行/三芝衛浴設備,4.7,11,五金用品店,新北市三芝區忠孝街175號 1 樓,25.261561,121.505436
金寶發號五金行,4.4,15,五金用品店,新北市三芝區中山路1段88巷3號,25.2566364,121.5025092
大都會廣場,3.9,4,百貨公司,新北市淡水區中山路8號,25.1691036,121.4449511
新遠芳百貨,4.4,29,百貨公司,新北市三重區三民街94號1樓,25.0630967,121.4853392
榮俽百貨行,4.8,4,百貨公司,新北市三重區長壽街1-13號,25.0676696,121.4987826
國際通百貨廣場,4.1,958,超級市場,新北市三重區中央北路8號,25.0638597,121.5008779
精宸國際有限公司,0.0,0,百貨公司,新北市三重區集賢路30號1樓,25.0877812,121.4940587
哈力商行,5.0,1,百貨公司,台灣新北市 三重區重新路五段609巷16號2樓之14,25.046814,121.468168
SHOWBA小北百貨 新北三重店,4.1,2,五金用品店,新北市三重區重陽路四段27號,25.069385,121.4914993
今翔百貨,4.5,4,商店,新北市三重區民生街61巷16號,25.0627418,121.4883301
SHOWBA小北百貨 新北三重自強店,4.3,794,五金用品店,新北市三重區自強路一段73號,25.066971,121.49711
樂芙百貨,4.2,5,家居用品店,新北市三重區車路頭街110號,25.0748753,121.4841945
J-MART 佳瑪 三重店,4.1,1,百貨公司,新北市三重區自強路一段73號,25.0669314,121.497047
超愛買三重店,4.1,197,購物中心,新北市三重區仁愛街296號,25.0791917,121.4923069
億萬里五金百貨重新店,4.2,262,商店,新北市三重區重新路一段93號,25.063528,121.500921
愛生百貨,0.0,0,商店,新北市三重區自強路五段52號,25.081263,121.493523
介壽廣場,4.1,58,購物中心,新北市三重區龍門路6號,25.0713682,121.4947081
金興發生活百貨 三和門市,4.2,391,家居用品店,新北市三重區中央北路3號,25.0640181,121.5011217
ĐỊA ĐIỂM TỔ CHỨC LỄ CẦU AN ĐẦU NĂM,0.0,0,購物中心,新北市三重區重新路一段87號號,25.0637732,121.5012109
德川百貨行(昇川襪子店),5.0,2,家居用品店,新北市三重區長壽西街22號,25.0673293,121.4975885
好鄰居生活百貨,4.5,13,家居用品店,新北市三重區永福街181號,25.0749765,121.4790472
東大藝品百貨企業股份有限公司,5.0,2,家居用品店,新北市三重區永福街72巷7號,25.0767177,121.4792384
黃正宗,0.0,0,商店,新北市三重區信義西街92號,25.0642049,121.496622
BODYGREEN 家樂福蘆洲門市,5.0,15,百貨公司,新北市三重區五華街282號,25.0879589,121.4864991
大奇五金百貨,3.8,13,五金用品店,新北市三重區龍門路43號,25.0722286,121.4961268
愛買 三重店,4.0,6,批發店,新北市三重區中正北路193巷45號,25.0714136,121.4761974
Love愛買,0.0,0,百貨公司,新北市三重區重陽路三段9號,25.0664609,121.4893621
統頂有限公司,0.0,0,百貨公司,"號3樓, No. 130號長壽西街三重區新北市241",25.0668793,121.4951083
美安SHOP.COM經銷商 新莊思源路,0.0,0,百貨公司,新北市新莊區思源路351號4樓,25.050463,121.459547
晉茂五金超商-三重店,3.6,86,五金用品店,新北市三重區光復路一段68巷6號,25.0490337,121.4716382
均能興業有限公司,4.0,1,商店,新北市三重區大仁街48巷47號,25.0645315,121.4907025
家樂福 重新店,4.1,11,大型超級市場,新北市三重區重新路五段654號,25.0432961,121.4676236
巧崴五金行,3.1,11,百貨公司,新北市三重區集成路14號,25.052136,121.488461
太和工房三重店,3.6,71,家居用品店,新北市三重區正義北路260號,25.0686204,121.4957708
家好康企業有限公司,0.0,0,商店,新北市三重區重新路三段78號,25.060831,121.4934973
女人驚喜旗艦館,4.6,37,批發店,新北市三重區民生街61巷14號,25.0626433,121.4885511
HOLA 和樂家居 新北重新店,4.3,217,家居用品店,新北市三重區重新路五段654號B1,25.0432809,121.4675154
美廉社 三重長元店,3.9,51,超級市場,新北市三重區長元街29號,25.0657864,121.4995251
加麗佳實業有限公司,4.7,3,家居用品店,新北市三重區中正北路530巷14號3樓,25.070018,121.4723159
江汰實業有限公司,4.3,4,商店,新北市三重區中正北路156號1樓,25.0657574,121.4846023
碩峰實業有限公司,0.0,0,商店,新北市三重區重陽路四段37號,25.0697908,121.4917154
智慧家庭科技有限公司 SmartHomeTek Co. Ltd.,0.0,0,家居用品店,新北市三重區中正北路428巷6號統編: 693616751樓,25.0705423,121.4747667
光明企業有限公司,0.0,0,商店,新北市 三重區碧華街216巷14弄16號2樓,25.0826465,121.4855535
瑋捷有限公司,0.0,0,商店,新北市三重區重陽路一段89號樓之35,25.0592529,121.486978
千古實業有限公司,5.0,1,家居用品店,新北市三重區中正南路49號,25.0595699,121.4938375
元信(大人物)五金行,3.4,32,五金用品店,新北市三重區中正北路174號,25.066423,121.4837024
徐匯廣場,4.1,3,購物中心,新北市蘆洲區中山一路8號,25.080547,121.4804698
泰福實業股份有限公司,0.0,0,商店,新北市三重區大智街109號,25.0696159,121.4917311
全聯福利中心 三重捷運店,4.0,807,超級市場,新北市三重區捷運路39、41號,25.0559237,121.4842567
