name,star,comment,class,address,latitude,longitude
上宇林三峽和平店,4.5,82,冰品飲料店,新北市三峽區和平街24之3號,24.9362858,121.3703514
陳Q古早黑砂糖剉冰 三峽光明店,3.9,61,冰品飲料店,"No. 29-1號, 光明路三峽區新北市237",24.9310724,121.3734778
現帶茶,4.7,10,冰品飲料店,新北市三峽區和平街73號,24.9371852,121.3701056
大苑子,3.5,221,冰品飲料店,新北市三峽區和平街101號,24.9381192,121.3702556
一枝冰商行,4.7,7,冰品飲料店,新北市三峽區嘉添路181-24號號1樓,24.9108246,121.3710066
吉品仙草小棧,4.5,127,冰品飲料店,新北市三峽區中山路129號,24.9360427,121.3652347
好了啦三峽國光店,0.0,0,冰品飲料店,新北市三峽區國光街34號,24.9376488,121.3750729
三峽 古早味黑砂糖剉冰,3.1,7,冰品飲料店,新北市三峽區中山路4號1樓,24.9344364,121.3698974
期香茶棧三峽店,4.0,25,無酒精飲料店,新北市三峽區民生街193號,24.9347746,121.3718143
7吋Qi Inch 甜品屋/冰棒/芝麻糊 三峽本店,4.7,14,冰品飲料店,新北市三峽區中華路74-1號,24.9293109,121.3714508
迷客夏Milksha 新北三峽北大店,3.6,321,冰品飲料店,新北市三峽區國際二街33號1樓,24.9432073,121.3726224
雙予綿綿冰（原峽客冰品),4.3,15,冰品飲料店,新北市三峽區中山路141號,24.9361434,121.365088
芋見豆花,4.7,132,冰品飲料店,新北市三峽區文化路246號,24.9359211,121.367499
呷冰站(台灣鮮果手工冰),4.4,216,冰品飲料店,新北市三峽區國際一街82號1 樓,24.9415729,121.3712196
Bella甜品專賣北大店,4.6,47,冰品飲料店,新北市三峽區國際一街27號,24.9424157,121.3737864
好了啦-紅茶冰(三峽中正店),0.0,0,,新北市三峽區中正路二段395巷36號,24.907874,121.366247
安安冰菓室,4.9,40,冰品飲料店,新北市三峽區文化路193號,24.935601,121.3667312
三峽老街冰店,4.4,91,冰品飲料店,新北市三峽區民權街10號,24.9346258,121.3702061
ㄚ冰師古早香紅茶冰,3.7,25,飲品分銷商,新北市三峽區大勇路80號,24.9360841,121.3670906
唐香蘭涼麵｜真果粉圓｜蔬食手捲,4.8,58,冰品飲料店,新北市三峽區大同路56號,24.9286129,121.376951
天天旺發財行,4.2,217,彩票零售商,新北市三峽區文化路115號,24.9360408,121.3704063
茗食茶,4.4,23,冰品飲料店,新北市三峽區大觀路313號,24.9475348,121.3730902
伊希詩ISIS冷飲,4.4,13,冰品飲料店,新北市三峽區大學路109-1號,24.9420845,121.3756495
古道阿彬杏仁茶,3.5,113,飲料,新北市三峽區民權街40號,24.9336735,121.369658
魔法香腸 Magic Sausage,5.0,916,冰品飲料店,新北市三峽區民權街97號,24.9326914,121.3692766
金聯春老房子,4.0,1,冰品飲料店,新北市三峽區民權街5 3號,24.9334179,121.369771
中正里,0.0,0,237新北市三峽區,沒有地址,24.9196356,121.374175
YCHY拾味(三峽義大利麵、三峽咖啡廳、三峽午餐、三峽晚餐、三峽下午茶、三峽人氣餐廳、三峽平價美食）,4.5,736,冰品飲料店,新北市三峽區國際一街27-1號1樓,24.9424002,121.3737362
禾乃川國產豆製所,4.4,1,冰品飲料店,新北市民權街84巷12-1號*最後點餐時間17:30,24.9337739,121.3689688
啡茶小棧,0.0,0,冰品飲料店,新北市三峽區白雞路153-1號白雞商圈,24.9049821,121.4008095
二鬮,0.0,0,237新北市三峽區,沒有地址,24.905583,121.355177
二鬮里,0.0,0,237新北市三峽區,沒有地址,24.8944123,121.3455856
蟾蜍山谷冷飲店,5.0,52,冰品飲料店,新北市三峽區,24.8564912,121.4357632
嚐冰閣,0.0,0,冰品飲料店,新北市三峽區介壽路三段146號,24.9432035,121.4012029
我家苦茶 草本養生茶舖,4.9,17,冰品飲料店,新北市三峽區白雞路1號153 之 號,24.9048573,121.4005201
穩贏生技股份有限公司(北區營業處),0.0,0,飲品分銷商,新北市三峽區添福路151之7號,24.8989055,121.3753074
二鬮路,0.0,0,大眾運輸站,新北市三峽區,24.910947,121.3625025
五鬮,0.0,0,237新北市三峽區,沒有地址,24.904649,121.349453
日月閒境,4.7,12,冰品飲料店,桃園市大溪區信義路956號,24.8949062,121.3195782
二鬮,0.0,0,大眾運輸站,新北市三峽區,24.904741,121.3573985
葵可利—飲料店(早餐廣東粥),4.4,13,冰品飲料店,桃園市大溪區民權東路78號,24.8822025,121.2914058
月里嬤的店,2.5,269,熟食店,新北市三峽區民權街145號,24.931834,121.3688377
隱茶於市,4.5,19,冰品飲料店,新北市鶯歌區國中街120號,24.9401638,121.3395606
五寮尖山休息站,4.5,132,休息站,新北市三峽區圳頭82號,24.87914,121.370536
茶聚CHAGE三峽和平店｜香片領導品牌＿新北手搖飲料店外帶外送加盟推薦│在地美食飲料茶飲創業加盟,4.7,354,珍珠奶茶,新北市三峽區和平街107號,24.9382843,121.3703329
TEA'S 原味-八德介壽店,3.4,108,冰品飲料店,桃園市八德區介壽路一段770號,24.9633852,121.3000639
三峽冰鎮-北大店,4.0,264,冰品飲料店,新北市三峽區大德路485號,24.947807,121.37419
CoCo都可 三峽大雅店,4.3,219,冰品飲料店,新北市樹林區大雅路280號,24.9472177,121.3798771
大埔里,0.0,0,237新北市三峽區,沒有地址,24.8957346,121.3627401
Neighbours左鄰右舍複合式自助洗衣 | 專人服務 | 代洗烘摺 | 手工洗鞋 | 咖啡甜點 | 到府收送,4.6,95,洗衣店,新北市三峽區大觀路12-5號1樓,24.9443815,121.3754402
Tea's 原味（鶯歌南雅店）,3.2,56,冰品飲料店,新北市鶯歌區南雅路35號,24.954198,121.3490025
易家紅茶冰,3.6,8,冰品飲料店,新北市三峽區中園街26號,24.9268903,121.3681208
Tea’s原味,3.5,8,餐廳,新北市三峽區民生街125號,24.9350519,121.373345
火金姑茶,4.4,43,茶葉店,新北市三峽區安坑里11鄰 51-6號,24.9315231,121.463942
涎露茗茶,0.0,0,茶葉店,新北市三峽區,24.9177366,121.4628214
甘霖冰室,0.0,0,冰品飲料店,新北市三峽區成福路261號,24.9235991,121.427911
茶農便利商店,5.0,8,便利店,新北市三峽區成福路284號,24.9233824,121.4285588
三峽日盛製茶 七代傳承,4.5,39,茶葉店,新北市三峽區成福路308-1號,24.9234616,121.4289819
成福里,0.0,0,237新北市三峽區,沒有地址,24.9288805,121.4256183
插角155茶園/蜜香紅茶,3.7,3,茶市,新北市三峽區,24.8799241,121.4190738
三峽插角里218之2柑仔店,0.0,0,雜貨店,新北市三峽區218之2,24.8682853,121.4150573
插角25號咖啡,4.6,596,咖啡廳,新北市三峽區25號,24.8726191,121.4044297
外插角,0.0,0,237新北市三峽區,沒有地址,24.881618,121.392729
插角,0.0,0,237新北市三峽區,沒有地址,24.871787,121.405534
新北市三峽區插角國民小學,4.4,45,小學,新北市三峽區39號,24.8721953,121.4051872
插角里,0.0,0,237新北市三峽區,沒有地址,24.867158,121.4056153
老家Black Tea (Old Place),4.7,46,無酒精飲料店,新北市三峽區中山路37號,24.9344206,121.3682438
"(碧螺春,有機茶,GABA,白茶)三峽谷芳有機茶園",4.6,53,有機農場,新北市三峽區白雞路153-79號三峽行修宮觀光商場正中間,24.905162,121.4008002
樂源仙境土雞城,4.1,1,中國菜,新北市三峽區82號,24.8708788,121.4060635
好了啦-三峽祖師廟店,3.0,4,果汁,新北市三峽區長福街2號正對面,24.933576,121.370231
大板根觀景咖啡廳,4.1,163,咖啡廳,新北市三峽區,24.8726008,121.4084513
插角一鄰,5.0,1,公車站,新北市三峽區,24.87342,121.399597
雲萃茶作,3.9,30,茶葉店,新北市三峽區民權街69號,24.9329941,121.369691
有福製茶廠/新北製茶廠/新北茶葉/新北茶葉批發/新北茶農,4.6,43,茶葉店,新北市三峽區竹崙路87-1號,24.9188232,121.4324518
插角一鄰,0.0,0,大眾運輸站,新北市三峽區,24.8734775,121.3996045
新北市三峽區衛生所插角衛生室,4.0,1,公共衛生部門,台灣省三峽區,24.872216,121.404629
插角(大板根),3.9,44,公車站,新北市三峽區,24.870399,121.407318
清泉居 初鹿鮮奶冰淇淋,4.2,34,甜品店,新北市三峽區民權街51號,24.933458,121.369794
新北市政府警察局三峽分局插角派出所,4.5,11,警局,新北市三峽區67-1號,24.8708925,121.4064992
山泉水 清茶館,3.0,1,無酒精飲料店,新北市三峽區清水街334號,24.9338546,121.3712325
泡沫紅茶,4.8,4,雜貨店,新北市三峽區大同路56號,24.9286129,121.376951
幸福搖搖-西門1號店,4.4,323,冰品飲料店,台北市萬華區成都路54號1樓,25.042642,121.5060244
正德居,4.5,776,闔家皆宜料理,新北市三峽區145 有木里,24.8485323,121.4450997
有木便利商店,5.0,2,便利店,新北市三峽區水車寮產業道路,24.8518514,121.439009
有木里觀光土雞城,3.9,833,雞肉,新北市三峽區205號,24.851814,121.4388669
有木里,0.0,0,237新北市三峽區,沒有地址,24.8498583,121.4570447
有木里,4.0,6,,新北市三峽區,24.8452322,121.4479646
有木,0.0,0,237新北市三峽區,沒有地址,24.863415,121.432364
有木餐廳,4.4,8,餐廳,新北市三峽區水車寮產業道路,24.851741,121.4390009
有木里辦公處,4.5,17,露營地點,新北市三峽區有木里193號,24.8452501,121.4479599
有木,4.0,1,公車站,新北市三峽區,24.862663,121.432929
自然步調內山咖啡,4.3,282,餐廳,新北市三峽區130-2號,24.856421,121.4361162
板根食堂,4.1,120,餐廳,新北市三峽區北114鄉道105號,24.8703066,121.4076482
蟾蜍山谷烤肉區,4.0,561,冰品飲料店,新北市三峽區130之1號,24.8566359,121.4355647
有木,0.0,0,大眾運輸站,新北市三峽區,24.8627225,121.433021
花岩山林,3.8,2,餐廳,沒有地址,24.864624,121.439515
有木里254號,5.0,1,鄉間別墅,facebook.com,24.8711008,121.4073846
愛沐芋芋頭芋圓仙草凍專賣店-三峽特色冰店|必吃芋圓|人氣飲料|熱門飲料|推薦手搖|仙草凍推薦,3.9,29,無酒精飲料店,新北市三峽區和平街103號,24.938113,121.370173
新北市三峽區有木國民小學,4.6,93,小學,新北市三峽區北114鄉道,24.8539552,121.437044
有木國小,3.3,3,公車站,新北市三峽區,24.853199,121.43692
三峽 千戶傳奇生態農場-鱘龍魚養殖場(原山中傳奇) Chienhu Cheanchi Ecological Fish Farm,4.2,729,餐廳,新北市三峽區,24.8451834,121.4494864
東眼桶仔雞,4.3,504,雞肉,新北市三峽區東眼路5號,24.8638104,121.4089562
Yo Mu Li 有木里,4.0,1,賓館,"號, No. 201北114鄉道三峽區新北市237",24.8487002,121.4451483
滿月圓國家森林遊樂區,4.5,8,國家森林,新北市三峽區,24.8361276,121.4451832
MULI COFFEE 沐里咖啡,4.8,87,咖啡店,新北市三峽區大同路39巷7號1樓,24.9279492,121.3770303
滿月圓國家森林遊樂區溪流館,5.0,3,旅遊景點,新北市三峽區,24.8253722,121.4486875
茶裡不然-大坪林店,4.6,64,冰品飲料店,新北市新店區北新路三段159號,24.9837749,121.5410231
里木Limonetea 手作茶飲,5.0,138,冰品飲料店,桃園市大溪區埔頂路一段300之2號,24.9014712,121.2741911
五寮尖山休息站,4.5,132,冰品飲料店,新北市三峽區圳頭82號,24.87914,121.370536
日日杯茶飲,4.9,168,冰品飲料店,新北市中和區景平路574號,24.9955362,121.5016896
李記紅茶冰 文山木新店,4.2,30,冰品飲料店,台北市文山區木新路三段181號,24.981511,121.5603632
兔子茶飲,4.3,13,冰品飲料店,新北市中和區景平路73號,24.9916396,121.5182343
蒔三SHI SAN TEA - 新北中和店,4.7,45,冰品飲料店,新北市中和區圓通路162之5號,24.9951589,121.4974281
吳家紅茶冰台北木新店,4.3,48,冰品飲料店,台北市文山區木新路三段306號,24.9809322,121.5573103
谷雨茶水舖,4.8,86,冰品飲料店,新北市中和區建一路103號,25.0015424,121.488223
馬祖奶茶（文山木新店）,4.5,48,冰品飲料店,台北市文山區木新路三段33號,24.9824552,121.5645275
茶聚CHAGE文山木新店,4.3,58,冰品飲料店,台北市文山區木新路二段262號,24.9831829,121.5660561
五桐號WooTea 新北南勢角店,4.0,319,冰品飲料店,新北市中和區興南路一段94號,24.9891449,121.509785
COMEBUY_中和大勇店,3.6,184,冰品飲料店,新北市中和區大勇街27巷2號,24.9936789,121.5172163
大苑子台北木新店,4.1,248,冰品飲料店,台北市文山區木新路三段141號,24.9817883,121.5616159
有木,0.0,0,旅遊景點,新北市三峽區,24.863415,121.432364
木昂手作-樹林鎮前店,4.9,37,冰品飲料店,新北市樹林區鎮前街146號,24.9903955,121.4245155
予無憂飲品工作室 中和立人店,4.7,118,冰品飲料店,新北市中和區立人街21號,24.993971,121.521274
添福里,0.0,0,237新北市三峽區,沒有地址,24.897054,121.3798921
清心福全三峽文化店-珍珠奶茶手搖飲料專賣店,3.6,58,無酒精飲料店,新北市三峽區文化路16號,24.9358682,121.3733162
清心福全三峽中華店-珍珠奶茶手搖飲料專賣店,3.7,73,珍珠奶茶,新北市三峽區中華路21號1樓,24.9317207,121.3733697
正統茗茶製茶廠,4.7,12,茶葉店,新北市三峽區竹崙路97號,24.916712,121.433076
昱德茗茶,0.0,0,茶葉店,新北市三峽區竹崙路66號,24.9192167,121.4320743
台灣農林熊空茶園-新北觀光茶園|三峽推薦農場|熊空人氣農場|生態農場|觀光農場|推薦茶園,4.0,2,有機農場,新北市三峽區竹崙路238號,24.8785018,121.4623919
海山綠葉茶園,0.0,0,茶葉店,新北市三峽區,24.9256438,121.4267134
竹崙,4.0,1,,新北市三峽區,24.92179,121.427003
竹崙里,0.0,0,237新北市三峽區,沒有地址,24.8976724,121.43419
竹崙,0.0,0,237新北市三峽區,沒有地址,24.92179,121.427003
金圳里,0.0,0,237新北市三峽區,沒有地址,24.874473,121.3856088
金門仔飲料專賣店,4.4,118,冰品飲料店,新北市三重區大智街236號,25.0725835,121.4895396
雲森茶業,0.0,0,茶葉店, 728 999,23.4857501,120.0843006
三峽區金圳里,5.0,1,旅遊景點,新北市三峽區,24.874473,121.3856088
來壺果飲,4.6,87,果汁,新北市三峽區大德路153號,24.9451932,121.37561
龍埔里,0.0,0,237新北市三峽區,沒有地址,24.9398797,121.3841797
李記紅茶冰-北大龍瑩店,5.0,7,冰品飲料店,新北市樹林區佳園路三段132-1號,24.9499518,121.3857262
麻古茶坊三峽北大店,3.5,172,珍珠奶茶,新北市三峽區國際一街30號,24.9427912,121.3736611
龍學里,0.0,0,237新北市三峽區,沒有地址,24.945033,121.3763189
茶米屋86,5.0,5,冰品飲料店,新北市三芝區長勤街86號,25.2550708,121.5001433
三芝農夫市集 璽揚揚手做吐司、蛋黃酥、香草茶,5.0,66,冰品飲料店,新北市三芝區,25.2464414,121.5080817
CoCo都可 三芝店,4.4,464,冰品飲料店,新北市三芝區中正路一段53號,25.2580262,121.5033625
葵可麗,5.0,4,冰品飲料店,新北市三芝區中正路一段73號,25.2570618,121.5040849
清心福全三芝店-珍珠奶茶手搖飲料專賣店,3.7,101,冰品飲料店,新北市三芝區淡金路二段14號,25.2595481,121.5024722
三芝快可立,4.4,24,珍珠奶茶,新北市三芝區淡金路二段2號,25.2592512,121.5022722
茶茶cafe《推薦咖啡廳》三芝隱藏版美食｜早午餐咖啡廳｜柴犬咖啡廳｜寵物友善餐廳｜小火鍋推薦｜手搖飲｜義大利麵,4.8,357,咖啡店,新北市三芝區中山路一段41號,25.2576632,121.5007392
休閒小站新鮮茶飲專賣,4.6,43,飲料,新北市三芝區中正路一段16號,25.2589791,121.5029035
茗恩茶莊,4.5,15,茶葉店,新北市三芝區公正街三段4號,25.2568123,121.4989681
御品香茗茶,0.0,0,茶葉店,新北市三芝區中山路一段110號,25.2562489,121.5024908
八賢里,0.0,0,252新北市三芝區,沒有地址,25.2321051,121.5184441
自然藝境咖啡館,4.2,70,咖啡廳,新北市三芝區164-2號,25.2490758,121.5078711
珞樂樂,4.8,49,冰品飲料店,新北市三芝區埔坪里埔頭坑88之7號,25.2547291,121.5068226
好了啦紅茶冰-三芝智成店,4.5,6,冰品飲料店,新北市三芝區智成街26號,25.2566695,121.5038944
三芝製茶所-小粟手作,4.4,27,茶葉店,新北市三芝區105號~1 店面在淡金路2段19巷1號,25.2613699,121.4791021
三芝二號倉庫咖啡館,4.1,467,餐廳,新北市三芝區中山路一段4號,25.2588342,121.5008396
古庄里,0.0,0,252新北市三芝區,沒有地址,25.2643859,121.4884624
牛仔莊園,4.8,9,美國菜,新北市三芝區古庄108之1號,25.2632689,121.498365
三芝淺水灣share cafe 分享咖啡館,4.2,734,咖啡廳,新北市三芝區,25.2502128,121.4671847
我們在海邊,4.3,975,咖啡店,新北市三芝區北勢子12-1號,25.2553374,121.4747073
古庄,0.0,0,大眾運輸站,新北市三芝區,25.2598195,121.497131
CoCo都可 三芝店,4.4,465,冰品飲料店,新北市三芝區中正路一段53號,25.2580262,121.5033625
圓山里,0.0,0,,新北市三芝區,25.218549,121.540499
圓山里,0.0,0,252新北市三芝區,沒有地址,25.2170856,121.5427093
三芝紅茶櫻花冰茶,4.0,44,餐廳,新北市三芝區淡金路二段19號巷1號,25.2594461,121.5027733
三芝八連溪農園餐廳,4.2,273,中國菜,新北市三芝區圓山里內柑宅24-1號,25.2172308,121.5349085
菁元本舍,0.0,0,花園,新北市三芝區,25.24347,121.532082
三分春色 台北小巨蛋店,4.9,335,冰品飲料店,台北市松山區南京東路四段2號1樓,25.0509865,121.5503562
奶茶站飲料坊,4.5,159,冰品飲料店,台北市大同區重慶北路三段335巷42號,25.074464,121.515217
埔坪里,0.0,0,252新北市三芝區,沒有地址,25.2460381,121.5155891
埔坪里 252新北市三芝區,5.0,1,公寓大廈,新北市三芝區252,25.2460381,121.5155891
埔坪,0.0,0,公車站,新北市三芝區,25.257568,121.503997
新北市三芝區埔坪里辦公處,0.0,0,地方政府機構,新北市三芝區中正路一段13號,25.2587328,121.5027855
梁社漢排骨-三芝淡金店,3.8,50,台灣菜,新北市三芝區淡金路一段65號,25.258804,121.5014458
三芝遊客中心,4.1,1,遊客中心,新北市三芝區埔坪里埔頭坑164-2 號,25.2490039,121.5078013
埔坪里,0.0,0,公寓社區,新北市三芝區淡金路二段87號,25.2609124,121.5043674
思相枝傳統豆花,3.7,82,冰品飲料店,新北市三芝區中正路一段101號,25.2560096,121.5047828
對味生活 right way life,4.4,237,點心,新北市三芝區中興街二段24號,25.2559736,121.4988768
三芝米雅,4.4,306,意大利菜,新北市三芝區埔頭路39-1號,25.2608354,121.4990879
三芝飲食店,0.0,0,餐廳,新北市三芝區育英街,25.2581437,121.5013222
讚不絕口小火鍋,4.1,122,火鍋,新北市三芝區民生街24號,25.257014,121.5039116
Mello Yello,4.9,38,外賣自取餐廳,新北市三芝區中山路一段87號,25.2566985,121.5013137
埔頭里,0.0,0,252新北市三芝區,沒有地址,25.2573697,121.5013127
益成豆漿店,4.2,165,早餐,新北市三芝區淡金路二段11號,25.2591747,121.5024054
大瑋叔叔炸雞-三芝店,4.5,28,餐廳,新北市三芝區民生街36號,25.2563198,121.503887
鮮堡早餐三芝店,4.5,14,早餐,新北市三芝區智成街11號號,25.2566874,121.5030438
小惡魔早午餐-Pretty Devil Brunch,4.5,176,早餐,新北市三芝區中正路二段32號1 樓,25.2548832,121.5042695
陳家割包,4.5,161,餐廳,新北市三芝區淡金路二段3號,25.2589666,121.5022811
三芝小雞籠社•丼飯•烏龍麵,4.7,52,餐廳,新北市三芝區中山路一段151號,25.2561234,121.5022837
九香飲食坊,4.3,76,餐廳,新北市三芝區育英街1號,25.2587563,121.5015843
三芝大腸包小腸,5.0,20,熟食店,新北市三芝區育英街5號對面號品超麵包店斜對面,25.2586006,121.5017147
車庫小籠包,4.6,118,中菜館,新北市三芝區,25.2579131,121.5038712
新北市三芝區埔頭里辦公處,4.3,3,區域政府辦事處,台灣三芝區中山路一段16號,25.2581543,121.5010318
悟饕池上飯包 - 三芝民生店,3.9,82,餐廳,新北市三芝區民生街40號,25.2561829,121.5038892
御饌鼎皇火鍋-三芝店,3.5,42,餐廳,新北市三芝區中興街一段53號,25.257011,121.4980649
八方雲集,2.9,173,餃子,新北市三芝區育英街2號,25.2587171,121.5020199
巨林美而美（三芝店）,4.4,39,早餐,新北市三芝區中正路一段1號,25.2590372,121.5024306
麥味登 三芝公正店,3.9,148,早午餐,新北市三芝區公正街三段9號,25.2567885,121.4985565
味香小吃,4.4,19,台灣菜,新北市三芝區中山路一段31號,25.2580281,121.5004594
早安美芝城 三芝長勤,4.3,75,早餐,新北市三芝區長勤街48-1號,25.2553489,121.5003553
店子里,0.0,0,252新北市三芝區,沒有地址,25.1992963,121.5170166
葉店（地瓜·皎白筍·蔬菜）,4.1,139,闔家皆宜料理,新北市三芝區店子里5鄰112之6號,25.2102701,121.5104668
新北市三芝區店子里辦公處,3.8,4,地方政府機構,新北市三芝區43-1號 1樓,25.2067288,121.5043825
小粟茶室,0.0,0,茶葉店,新北市三芝區北勢子20號,25.2534722,121.4727693
VILLA SUGAR,3.7,2,意大利菜,新北市三芝區號,25.2497108,121.465981
沙灘咖啡屋,2.5,283,咖啡店,新北市三芝區45-8號,25.2502841,121.4672164
公雞咖啡,4.3,3,咖啡廳,新北市三芝區北勢子45-16號,25.2503579,121.467927
那年夏天,4.0,454,咖啡店,新北市三芝區號,25.2504214,121.4673561
看山小望海大｜海景咖啡廳,3.7,901,咖啡廳,新北市三芝區,25.2501764,121.4674267
後厝里,0.0,0,252新北市三芝區,沒有地址,25.2458683,121.4770388
Bossa Nova巴莎諾瓦海景餐廳 三芝.淺水灣美食,4.0,920,餐廳,新北市三芝區土地公坑路54之6號淺水灣旁,25.2499734,121.4667125
夢想地圖Café海景會館,4.3,554,咖啡廳,新北市三芝區北勢子41號,25.2527068,121.4719077
後厝土窯雞釣魚長堤,5.0,1,公園,新北市三芝區,25.2567371,121.4728168
新北市三芝區後厝里辦公處,0.0,0,地方政府機構,新北市三芝區25 之 1 號,25.2428656,121.4854905
新庄里,0.0,0,252新北市三芝區,沒有地址,25.2709407,121.5055958
咖啡樹景觀花園Coffee Tree,4.4,89,咖啡廳,新北市三芝區56-8號,25.2509074,121.5356933
橫山里,0.0,0,252新北市三芝區,沒有地址,25.2535776,121.5341457
EZi森活》小馬貝菈餐廳,4.0,249,咖啡店,新北市三芝區大坑2號,25.2650609,121.5155257
小馬貝菈親子餐廳,4.0,179,餐廳,新北市三芝區大坑2號,25.265067,121.5155357
幸福咖啡站,4.9,120,咖啡店,新北市三芝區42之1號,25.2319865,121.5135024
